seq_no=0,	ch0= 896, ch1=   0, ch2=1476, ch3= 818, ch4=   9, ch5=1268, ts=1712137735251061,	delta=1712137735251061,
seq_no=1,	ch0= 746, ch1=  69, ch2=1600, ch3= 576, ch4= 129, ch5=1407, ts=1712137735251247,	delta=186,
seq_no=2,	ch0= 591, ch1= 196, ch2=1716, ch3= 404, ch4= 260, ch5=1399, ts=1712137735251346,	delta=99,
seq_no=3,	ch0= 356, ch1= 380, ch2=1698, ch3= 253, ch4= 456, ch5=1434, ts=1712137735251436,	delta=90,
seq_no=4,	ch0=  50, ch1= 570, ch2=1712, ch3= 192, ch4= 610, ch5=1303, ts=1712137735251523,	delta=87,
seq_no=5,	ch0=  45, ch1= 793, ch2=1553, ch3=  26, ch4= 789, ch5=1239, ts=1712137735251611,	delta=88,
seq_no=6,	ch0=   0, ch1=1015, ch2=1466, ch3=   0, ch4= 946, ch5=1052, ts=1712137735251644,	delta=33,
seq_no=7,	ch0=   0, ch1=1202, ch2=1272, ch3=   0, ch4=1082, ch5= 868, ts=1712137735251672,	delta=28,
seq_no=8,	ch0=   0, ch1=1370, ch2=1046, ch3=  13, ch4=1195, ch5= 674, ts=1712137735251701,	delta=29,
seq_no=9,	ch0=  74, ch1=1499, ch2= 814, ch3= 121, ch4=1275, ch5= 502, ts=1712137735251729,	delta=28,
seq_no=10,	ch0= 205, ch1=1600, ch2= 583, ch3= 276, ch4=1315, ch5= 341, ts=1712137735251758,	delta=29,
seq_no=11,	ch0= 372, ch1=1619, ch2= 369, ch3= 460, ch4=1307, ch5= 185, ts=1712137735251787,	delta=29,
seq_no=12,	ch0=1454, ch1=  79, ch2= 822, ch3=1176, ch4=  49, ch5= 526, ts=1712137735251815,	delta=28,
seq_no=13,	ch0=1325, ch1=   0, ch2=1057, ch3=1100, ch4=   0, ch5= 693, ts=1712137735251844,	delta=29,
seq_no=14,	ch0=1162, ch1=   0, ch2=1268, ch3= 992, ch4=   0, ch5= 839, ts=1712137735251873,	delta=29,
seq_no=15,	ch0= 973, ch1=   0, ch2=1443, ch3= 836, ch4=   0, ch5= 940, ts=1712137735251901,	delta=28,
seq_no=16,	ch0= 762, ch1=  53, ch2=1605, ch3= 675, ch4=  20, ch5=1064, ts=1712137735251930,	delta=29,
seq_no=17,	ch0= 564, ch1= 192, ch2=1696, ch3= 499, ch4= 116, ch5=1130, ts=1712137735251958,	delta=28,
seq_no=18,	ch0= 241, ch1= 343, ch2=1728, ch3= 402, ch4= 224, ch5=1168, ts=1712137735252237,	delta=279,
seq_no=19,	ch0= 240, ch1= 585, ch2=1665, ch3= 210, ch4= 389, ch5=1090, ts=1712137735253060,	delta=823,
seq_no=20,	ch0=   0, ch1= 760, ch2=1602, ch3= 157, ch4= 522, ch5=1126, ts=1712137735253913,	delta=853,
seq_no=21,	ch0=   0, ch1= 993, ch2=1486, ch3=  22, ch4= 689, ch5=1035, ts=1712137735254739,	delta=826,
seq_no=22,	ch0=   0, ch1=1181, ch2=1285, ch3=   0, ch4= 832, ch5= 906, ts=1712137735255659,	delta=920,
seq_no=23,	ch0=   0, ch1=1356, ch2=1075, ch3=   0, ch4= 940, ch5= 757, ts=1712137735256576,	delta=917,
seq_no=24,	ch0=  47, ch1=1500, ch2= 853, ch3=   0, ch4=1022, ch5= 598, ts=1712137735257607,	delta=1031,
seq_no=25,	ch0= 182, ch1=1580, ch2= 616, ch3=  79, ch4=1090, ch5= 434, ts=1712137735258233,	delta=626,
seq_no=26,	ch0= 356, ch1=1615, ch2= 398, ch3= 202, ch4=1123, ch5= 276, ts=1712137735259111,	delta=878,
seq_no=27,	ch0= 537, ch1=1591, ch2= 214, ch3= 345, ch4=1117, ch5= 161, ts=1712137735259862,	delta=751,
seq_no=28,	ch0= 749, ch1=1459, ch2=  64, ch3= 529, ch4=1103, ch5=  54, ts=1712137735260756,	delta=894,
seq_no=29,	ch0= 949, ch1=1368, ch2=   0, ch3= 687, ch4= 970, ch5=   0, ts=1712137735261712,	delta=956,
seq_no=30,	ch0=1165, ch1=1255, ch2=   0, ch3= 902, ch4= 858, ch5=   0, ts=1712137735262496,	delta=784,
seq_no=31,	ch0=1268, ch1= 981, ch2=  17, ch3=1008, ch4= 682, ch5=  13, ts=1712137735263240,	delta=744,
seq_no=32,	ch0=1501, ch1= 807, ch2=  46, ch3=1075, ch4= 549, ch5=   0, ts=1712137735264090,	delta=850,
seq_no=33,	ch0=1527, ch1= 565, ch2= 224, ch3=1158, ch4= 378, ch5= 106, ts=1712137735264929,	delta=839,
seq_no=34,	ch0=1554, ch1= 372, ch2= 416, ch3=1202, ch4= 234, ch5= 239, ts=1712137735265741,	delta=812,
seq_no=35,	ch0=1527, ch1= 198, ch2= 638, ch3=1210, ch4= 125, ch5= 396, ts=1712137735266548,	delta=807,
seq_no=36,	ch0=1431, ch1=  56, ch2= 866, ch3=1174, ch4=  46, ch5= 553, ts=1712137735267450,	delta=902,
seq_no=37,	ch0=1301, ch1=   0, ch2=1096, ch3=1089, ch4=   0, ch5= 711, ts=1712137735268276,	delta=826,
seq_no=38,	ch0=1129, ch1=   0, ch2=1272, ch3= 953, ch4=   0, ch5= 862, ts=1712137735269072,	delta=796,
seq_no=39,	ch0= 931, ch1=   0, ch2=1483, ch3= 810, ch4=   0, ch5= 981, ts=1712137735269962,	delta=890,
