seq_no=0,	ch0= 825, ch1=1420, ch2=   4, ch3=  71, ch4= 448, ch5= 228, ts=1714036308841884,	delta=1714036308841884,
seq_no=1,	ch0= 628, ch1=1595, ch2= 157, ch3=   0, ch4= 430, ch5= 308, ts=1714036308842067,	delta=183,
seq_no=2,	ch0= 449, ch1=1587, ch2= 255, ch3=   0, ch4= 389, ch5= 442, ts=1714036308842164,	delta=97,
seq_no=3,	ch0= 288, ch1=1482, ch2= 516, ch3=   0, ch4= 385, ch5= 401, ts=1714036308842254,	delta=90,
seq_no=4,	ch0= 106, ch1=1542, ch2= 740, ch3=   0, ch4= 238, ch5= 463, ts=1714036308842339,	delta=85,
seq_no=5,	ch0=   2, ch1=1425, ch2= 980, ch3=  29, ch4= 148, ch5= 490, ts=1714036308842424,	delta=85,
seq_no=6,	ch0=  31, ch1= 823, ch2=1594, ch3= 207, ch4=   0, ch5= 374, ts=1714036308842457,	delta=33,
seq_no=7,	ch0= 151, ch1= 612, ch2=1693, ch3= 276, ch4=   0, ch5= 326, ts=1714036308842485,	delta=28,
seq_no=8,	ch0= 312, ch1= 420, ch2=1743, ch3= 328, ch4=   0, ch5= 282, ts=1714036308842515,	delta=30,
seq_no=9,	ch0= 502, ch1= 218, ch2=1723, ch3= 370, ch4=   0, ch5= 225, ts=1714036308842543,	delta=28,
seq_no=10,	ch0= 721, ch1=  76, ch2=1636, ch3= 405, ch4=   9, ch5= 166, ts=1714036308842768,	delta=225,
seq_no=11,	ch0= 930, ch1=   0, ch2=1491, ch3= 424, ch4= 110, ch5= 101, ts=1714036308842812,	delta=44,
seq_no=12,	ch0=1216, ch1=   0, ch2=1314, ch3= 425, ch4=  72, ch5=  65, ts=1714036308843139,	delta=327,
seq_no=13,	ch0=1250, ch1=   0, ch2=1096, ch3= 448, ch4= 149, ch5=  24, ts=1714036308843837,	delta=698,
seq_no=14,	ch0=1421, ch1=  52, ch2= 951, ch3= 397, ch4= 201, ch5=   0, ts=1714036308844667,	delta=830,
seq_no=15,	ch0=1575, ch1= 207, ch2= 602, ch3= 357, ch4= 260, ch5=   0, ts=1714036308849744,	delta=5077,
seq_no=16,	ch0=1530, ch1= 282, ch2= 433, ch3= 320, ch4= 369, ch5=   0, ts=1714036308849807,	delta=63,
seq_no=17,	ch0=1443, ch1= 528, ch2= 234, ch3= 332, ch4= 332, ch5=   0, ts=1714036308849839,	delta=32,
seq_no=18,	ch0=1448, ch1= 765, ch2=  72, ch3= 192, ch4= 375, ch5=   7, ts=1714036308849869,	delta=30,
seq_no=19,	ch0=1326, ch1= 978, ch2=   0, ch3= 123, ch4= 395, ch5=  53, ts=1714036308849897,	delta=28,
seq_no=20,	ch0=1160, ch1=1173, ch2=   0, ch3=  66, ch4= 391, ch5=  97, ts=1714036308849926,	delta=29,
seq_no=21,	ch0= 969, ch1=1349, ch2=   0, ch3=  21, ch4= 383, ch5= 154, ts=1714036308850727,	delta=801,
seq_no=22,	ch0= 757, ch1=1488, ch2=  58, ch3=   0, ch4= 360, ch5= 217, ts=1714036308851409,	delta=682,
seq_no=23,	ch0= 556, ch1=1581, ch2= 209, ch3=   0, ch4= 313, ch5= 265, ts=1714036308852243,	delta=834,
seq_no=24,	ch0= 343, ch1=1607, ch2= 396, ch3=   0, ch4= 266, ch5= 309, ts=1714036308853082,	delta=839,
seq_no=25,	ch0= 184, ch1=1590, ch2= 630, ch3=   0, ch4= 215, ch5= 348, ts=1714036308853922,	delta=840,
seq_no=26,	ch0=  53, ch1=1492, ch2= 862, ch3=  10, ch4= 141, ch5= 377, ts=1714036308854768,	delta=846,
seq_no=27,	ch0=   0, ch1=1351, ch2=1110, ch3=  84, ch4=  85, ch5= 413, ts=1714036308855667,	delta=899,
seq_no=28,	ch0=   0, ch1=1172, ch2=1392, ch3= 100, ch4=  64, ch5= 385, ts=1714036308856587,	delta=920,
seq_no=29,	ch0=   0, ch1=1000, ch2=1418, ch3= 158, ch4=  34, ch5= 433, ts=1714036308857463,	delta=876,
seq_no=30,	ch0=  50, ch1= 769, ch2=1615, ch3= 221, ch4=   0, ch5= 369, ts=1714036308858295,	delta=832,
seq_no=31,	ch0= 192, ch1= 558, ch2=1715, ch3= 278, ch4=   0, ch5= 322, ts=1714036308859115,	delta=820,
seq_no=32,	ch0= 363, ch1= 358, ch2=1736, ch3= 326, ch4=   0, ch5= 274, ts=1714036308859901,	delta=786,
seq_no=33,	ch0= 557, ch1= 188, ch2=1700, ch3= 381, ch4=   0, ch5= 203, ts=1714036308860771,	delta=870,
seq_no=34,	ch0= 763, ch1=  57, ch2=1615, ch3= 413, ch4=  17, ch5= 153, ts=1714036308861608,	delta=837,
seq_no=35,	ch0= 960, ch1=   0, ch2=1468, ch3= 437, ch4=  96, ch5=  96, ts=1714036308862439,	delta=831,
seq_no=36,	ch0=1178, ch1=   0, ch2=1262, ch3= 495, ch4=  93, ch5=  49, ts=1714036308863265,	delta=826,
seq_no=37,	ch0=1301, ch1=   0, ch2=1040, ch3= 395, ch4= 164, ch5=  13, ts=1714036308864106,	delta=841,
seq_no=38,	ch0=1440, ch1=  79, ch2= 802, ch3= 383, ch4= 226, ch5=  66, ts=1714036308864959,	delta=853,
seq_no=39,	ch0=1504, ch1= 320, ch2= 545, ch3= 348, ch4= 277, ch5=   0, ts=1714036308865737,	delta=778,
seq_no=40,	ch0=1557, ch1= 375, ch2= 364, ch3= 292, ch4= 245, ch5=   0, ts=1714036308866708,	delta=971,
seq_no=41,	ch0=1436, ch1= 611, ch2= 203, ch3= 269, ch4= 340, ch5=  33, ts=1714036308867485,	delta=777,
seq_no=42,	ch0=1423, ch1= 820, ch2=  47, ch3= 173, ch4= 384, ch5=  21, ts=1714036308868324,	delta=839,
seq_no=43,	ch0=1276, ch1=1030, ch2=   0, ch3= 118, ch4= 400, ch5=  64, ts=1714036308869101,	delta=777,
seq_no=44,	ch0=1108, ch1=1218, ch2=   0, ch3=  65, ch4= 386, ch5= 109, ts=1714036308869959,	delta=858,
seq_no=45,	ch0= 914, ch1=1392, ch2=   0, ch3=  28, ch4= 377, ch5= 169, ts=1714036308870833,	delta=874,
seq_no=46,	ch0= 708, ch1=1520, ch2= 100, ch3=   0, ch4= 344, ch5= 229, ts=1714036308871721,	delta=888,
seq_no=47,	ch0= 494, ch1=1600, ch2= 261, ch3=   0, ch4= 305, ch5= 292, ts=1714036308872551,	delta=830,
seq_no=48,	ch0= 322, ch1=1610, ch2= 449, ch3=   0, ch4= 249, ch5= 320, ts=1714036308873424,	delta=873,
seq_no=49,	ch0= 154, ch1=1554, ch2= 681, ch3=   0, ch4= 186, ch5= 362, ts=1714036308874289,	delta=865,
seq_no=50,	ch0=  10, ch1=1472, ch2= 918, ch3=  21, ch4= 137, ch5= 388, ts=1714036308875100,	delta=811,
seq_no=51,	ch0=   0, ch1=1370, ch2=1166, ch3=  46, ch4=  85, ch5= 414, ts=1714036308875973,	delta=873,
seq_no=52,	ch0=   0, ch1=1107, ch2=1282, ch3= 119, ch4=  37, ch5= 466, ts=1714036308876812,	delta=839,
seq_no=53,	ch0=  16, ch1= 981, ch2=1511, ch3= 200, ch4=  18, ch5= 354, ts=1714036308877620,	delta=808,
seq_no=54,	ch0=  77, ch1= 707, ch2=1641, ch3= 235, ch4=   0, ch5= 356, ts=1714036308878439,	delta=819,
seq_no=55,	ch0= 225, ch1= 498, ch2=1729, ch3= 292, ch4=   0, ch5= 307, ts=1714036308879292,	delta=853,
seq_no=56,	ch0= 405, ch1= 308, ch2=1735, ch3= 359, ch4=   0, ch5= 251, ts=1714036308880143,	delta=851,
seq_no=57,	ch0= 601, ch1= 148, ch2=1689, ch3= 386, ch4=   0, ch5= 195, ts=1714036308880981,	delta=838,
seq_no=58,	ch0= 809, ch1=  30, ch2=1585, ch3= 413, ch4=  18, ch5= 136, ts=1714036308881818,	delta=837,
seq_no=59,	ch0=1047, ch1=   0, ch2=1429, ch3= 454, ch4=  57, ch5=  86, ts=1714036308882761,	delta=943,
seq_no=60,	ch0=1192, ch1=   0, ch2=1204, ch3= 412, ch4= 123, ch5=  45, ts=1714036308883491,	delta=730,
seq_no=61,	ch0=1352, ch1=   6, ch2=1020, ch3= 405, ch4= 180, ch5=  79, ts=1714036308884347,	delta=856,
seq_no=62,	ch0=1472, ch1= 171, ch2= 746, ch3= 377, ch4= 236, ch5=   0, ts=1714036308885214,	delta=867,
seq_no=63,	ch0=1537, ch1= 234, ch2= 538, ch3= 323, ch4= 217, ch5=   0, ts=1714036308885958,	delta=744,
seq_no=64,	ch0=1476, ch1= 453, ch2= 349, ch3= 306, ch4= 333, ch5=  11, ts=1714036308886811,	delta=853,
seq_no=65,	ch0=1475, ch1= 635, ch2= 239, ch3= 207, ch4= 389, ch5=  22, ts=1714036308887615,	delta=804,
seq_no=66,	ch0=1398, ch1= 867, ch2=  11, ch3= 165, ch4= 389, ch5=  27, ts=1714036308888450,	delta=835,
seq_no=67,	ch0=1248, ch1=1088, ch2=   0, ch3=  97, ch4= 395, ch5=  74, ts=1714036308889351,	delta=901,
seq_no=68,	ch0=1061, ch1=1272, ch2=   0, ch3=  45, ch4= 388, ch5= 128, ts=1714036308890135,	delta=784,
seq_no=69,	ch0= 864, ch1=1426, ch2=  18, ch3=  12, ch4= 366, ch5= 187, ts=1714036308890988,	delta=853,
seq_no=70,	ch0= 662, ch1=1546, ch2= 132, ch3=   0, ch4= 337, ch5= 237, ts=1714036308891878,	delta=890,
seq_no=71,	ch0= 460, ch1=1604, ch2= 305, ch3=   0, ch4= 292, ch5= 277, ts=1714036308892741,	delta=863,
seq_no=72,	ch0= 269, ch1=1602, ch2= 516, ch3=   0, ch4= 226, ch5= 341, ts=1714036308893585,	delta=844,
seq_no=73,	ch0=  89, ch1=1533, ch2= 762, ch3=   0, ch4= 164, ch5= 389, ts=1714036308894418,	delta=833,
seq_no=74,	ch0=   0, ch1=1418, ch2= 975, ch3=  34, ch4= 130, ch5= 395, ts=1714036308895234,	delta=816,
seq_no=75,	ch0=  38, ch1=1290, ch2=1147, ch3=  70, ch4=  81, ch5= 436, ts=1714036308896046,	delta=812,
seq_no=76,	ch0=   0, ch1= 955, ch2=1367, ch3= 114, ch4= 112, ch5= 366, ts=1714036308896881,	delta=835,
seq_no=77,	ch0= 112, ch1= 857, ch2=1600, ch3= 204, ch4=   0, ch5= 372, ts=1714036308897717,	delta=836,
seq_no=78,	ch0= 116, ch1= 656, ch2=1676, ch3= 256, ch4=   0, ch5= 335, ts=1714036308898609,	delta=892,
seq_no=79,	ch0= 265, ch1= 455, ch2=1741, ch3= 313, ch4=   0, ch5= 288, ts=1714036308899685,	delta=1076,
seq_no=80,	ch0= 449, ch1= 262, ch2=1731, ch3= 361, ch4=   0, ch5= 245, ts=1714036308900295,	delta=610,
seq_no=81,	ch0= 658, ch1= 117, ch2=1656, ch3= 397, ch4=   1, ch5= 181, ts=1714036308901096,	delta=801,
seq_no=82,	ch0= 874, ch1=   0, ch2=1533, ch3= 418, ch4=  36, ch5= 130, ts=1714036308901931,	delta=835,
seq_no=83,	ch0=1056, ch1=   0, ch2=1358, ch3= 411, ch4=  82, ch5=  70, ts=1714036308902784,	delta=853,
seq_no=84,	ch0=1248, ch1=   0, ch2=1133, ch3= 421, ch4= 130, ch5=  81, ts=1714036308903607,	delta=823,
seq_no=85,	ch0=1381, ch1=  59, ch2= 923, ch3= 402, ch4= 192, ch5=   0, ts=1714036308904455,	delta=848,
seq_no=86,	ch0=1562, ch1= 141, ch2= 692, ch3= 376, ch4= 236, ch5=   0, ts=1714036308905293,	delta=838,
seq_no=87,	ch0=1516, ch1= 300, ch2= 459, ch3= 271, ch4= 298, ch5=   0, ts=1714036308906134,	delta=841,
