seq_no=0,	ch0=1367, ch1=   9, ch2= 950, ch3= 634, ch4= 285, ch5=  98, ts=1714036287843061,	delta=1714036287843061,
seq_no=1,	ch0=1489, ch1= 178, ch2= 743, ch3= 630, ch4= 375, ch5=   0, ts=1714036287843254,	delta=193,
seq_no=2,	ch0=1646, ch1= 247, ch2= 542, ch3= 534, ch4= 405, ch5=   0, ts=1714036287843352,	delta=98,
seq_no=3,	ch0=1493, ch1= 448, ch2= 313, ch3= 382, ch4= 493, ch5=   0, ts=1714036287843442,	delta=90,
seq_no=4,	ch0=1485, ch1= 663, ch2= 154, ch3= 355, ch4= 559, ch5=   0, ts=1714036287843527,	delta=85,
seq_no=5,	ch0=1392, ch1= 880, ch2=   9, ch3= 241, ch4= 591, ch5=  48, ts=1714036287843559,	delta=32,
seq_no=6,	ch0=   0, ch1=1248, ch2=1219, ch3=  96, ch4=  83, ch5= 502, ts=1714036287843639,	delta=80,
seq_no=7,	ch0= 658, ch1=  91, ch2=1634, ch3= 450, ch4=   8, ch5= 221, ts=1714036287843672,	delta=33,
seq_no=8,	ch0= 890, ch1=  18, ch2=1417, ch3= 541, ch4=  50, ch5= 250, ts=1714036287843701,	delta=29,
seq_no=9,	ch0=1090, ch1=   0, ch2=1344, ch3= 544, ch4= 101, ch5=  89, ts=1714036287843729,	delta=28,
seq_no=10,	ch0=1274, ch1=   4, ch2=1138, ch3= 536, ch4= 174, ch5=  36, ts=1714036287843757,	delta=28,
seq_no=11,	ch0=1403, ch1=  58, ch2= 905, ch3= 517, ch4= 261, ch5=   2, ts=1714036287843786,	delta=29,
seq_no=12,	ch0=1504, ch1= 161, ch2= 669, ch3= 472, ch4= 326, ch5=   0, ts=1714036287844526,	delta=740,
seq_no=13,	ch0=1559, ch1= 327, ch2= 448, ch3= 412, ch4= 388, ch5=   0, ts=1714036287845437,	delta=911,
seq_no=14,	ch0=1528, ch1= 507, ch2= 244, ch3= 330, ch4= 480, ch5=   0, ts=1714036287846360,	delta=923,
seq_no=15,	ch0=1524, ch1= 740, ch2=  96, ch3= 247, ch4= 442, ch5=   9, ts=1714036287847166,	delta=806,
seq_no=16,	ch0=1329, ch1= 963, ch2=   0, ch3= 151, ch4= 480, ch5=  50, ts=1714036287848042,	delta=876,
seq_no=17,	ch0=1175, ch1=1167, ch2=   0, ch3= 106, ch4= 493, ch5= 164, ts=1714036287848836,	delta=794,
seq_no=18,	ch0= 967, ch1=1437, ch2=   0, ch3=  72, ch4= 484, ch5= 148, ts=1714036287849660,	delta=824,
seq_no=19,	ch0= 774, ch1=1435, ch2=  50, ch3=   2, ch4= 384, ch5= 246, ts=1714036287850513,	delta=853,
seq_no=20,	ch0= 501, ch1=1571, ch2= 204, ch3=  11, ch4= 393, ch5= 368, ts=1714036287851316,	delta=803,
seq_no=21,	ch0= 374, ch1=1606, ch2= 377, ch3=   0, ch4= 342, ch5= 399, ts=1714036287852176,	delta=860,
seq_no=22,	ch0= 203, ch1=1579, ch2= 596, ch3=   0, ch4= 270, ch5= 442, ts=1714036287853013,	delta=837,
seq_no=23,	ch0=  66, ch1=1500, ch2= 832, ch3=  10, ch4= 199, ch5= 466, ts=1714036287853858,	delta=845,
seq_no=24,	ch0=   0, ch1=1366, ch2=1063, ch3=  64, ch4= 130, ch5= 493, ts=1714036287854750,	delta=892,
seq_no=25,	ch0=   0, ch1=1193, ch2=1271, ch3= 129, ch4=  66, ch5= 493, ts=1714036287855467,	delta=717,
seq_no=26,	ch0=   0, ch1= 995, ch2=1452, ch3= 197, ch4=  27, ch5= 481, ts=1714036287856387,	delta=920,
seq_no=27,	ch0=  48, ch1= 785, ch2=1600, ch3= 280, ch4=   0, ch5= 448, ts=1714036287857177,	delta=790,
seq_no=28,	ch0= 174, ch1= 576, ch2=1712, ch3= 341, ch4=   0, ch5= 405, ts=1714036287857990,	delta=813,
seq_no=29,	ch0= 333, ch1= 375, ch2=1747, ch3= 415, ch4=   0, ch5= 352, ts=1714036287858889,	delta=899,
seq_no=30,	ch0= 523, ch1= 202, ch2=1789, ch3= 473, ch4=  25, ch5= 288, ts=1714036287859750,	delta=861,
seq_no=31,	ch0= 756, ch1=  64, ch2=1586, ch3= 510, ch4=  10, ch5= 128, ts=1714036287860609,	delta=859,
seq_no=32,	ch0= 941, ch1=   0, ch2=1462, ch3= 547, ch4= 123, ch5= 125, ts=1714036287861448,	delta=839,
seq_no=33,	ch0=1134, ch1=   0, ch2=1283, ch3= 547, ch4= 136, ch5=  79, ts=1714036287862352,	delta=904,
seq_no=34,	ch0=1305, ch1=   0, ch2=1063, ch3= 535, ch4= 198, ch5=  26, ts=1714036287863163,	delta=811,
seq_no=35,	ch0=1432, ch1=  65, ch2= 827, ch3= 497, ch4= 269, ch5=   0, ts=1714036287864025,	delta=862,
seq_no=36,	ch0=1516, ch1= 201, ch2= 610, ch3= 453, ch4= 331, ch5=   0, ts=1714036287864861,	delta=836,
seq_no=37,	ch0=1549, ch1= 381, ch2= 393, ch3= 386, ch4= 386, ch5=   0, ts=1714036287865691,	delta=830,
seq_no=38,	ch0=1512, ch1= 589, ch2= 212, ch3= 322, ch4= 448, ch5=   0, ts=1714036287866511,	delta=820,
seq_no=39,	ch0=1420, ch1= 783, ch2= 134, ch3= 225, ch4= 473, ch5=  18, ts=1714036287867369,	delta=858,
seq_no=40,	ch0=1303, ch1=1004, ch2=   0, ch3= 159, ch4= 489, ch5=  18, ts=1714036287868181,	delta=812,
seq_no=41,	ch0=1132, ch1=1166, ch2=   0, ch3= 101, ch4= 537, ch5= 134, ts=1714036287869036,	delta=855,
seq_no=42,	ch0=1016, ch1=1354, ch2=  27, ch3=  37, ch4= 453, ch5= 205, ts=1714036287869881,	delta=845,
seq_no=43,	ch0= 714, ch1=1512, ch2=  83, ch3=   0, ch4= 441, ch5= 310, ts=1714036287870829,	delta=948,
seq_no=44,	ch0= 524, ch1=1600, ch2= 150, ch3=   0, ch4= 377, ch5= 434, ts=1714036287871552,	delta=723,
seq_no=45,	ch0= 332, ch1=1614, ch2= 437, ch3=   0, ch4= 331, ch5= 398, ts=1714036287872383,	delta=831,
seq_no=46,	ch0= 160, ch1=1573, ch2= 663, ch3=   0, ch4= 257, ch5= 448, ts=1714036287873170,	delta=787,
seq_no=47,	ch0=  40, ch1=1478, ch2= 888, ch3=  21, ch4= 185, ch5= 481, ts=1714036287873997,	delta=827,
seq_no=48,	ch0=   0, ch1=1336, ch2=1118, ch3=  74, ch4= 119, ch5= 494, ts=1714036287874855,	delta=858,
seq_no=49,	ch0=   0, ch1=1160, ch2=1317, ch3= 134, ch4=  64, ch5= 501, ts=1714036287875673,	delta=818,
seq_no=50,	ch0=   0, ch1= 960, ch2=1504, ch3= 213, ch4=  13, ch5= 480, ts=1714036287876504,	delta=831,
seq_no=51,	ch0=  81, ch1= 738, ch2=1652, ch3= 306, ch4=   0, ch5= 441, ts=1714036287877349,	delta=845,
seq_no=52,	ch0= 200, ch1= 530, ch2=1729, ch3= 365, ch4=   0, ch5= 393, ts=1714036287878194,	delta=845,
seq_no=53,	ch0= 382, ch1= 339, ch2=1743, ch3= 433, ch4=   0, ch5= 322, ts=1714036287879041,	delta=847,
seq_no=54,	ch0= 600, ch1= 242, ch2=1688, ch3= 525, ch4=   2, ch5= 219, ts=1714036287879876,	delta=835,
