seq_no=0,	ch0= 747, ch1=1486, ch2=  81, ch3=  29, ch4= 640, ch5= 426, ts=1714036271297264,	delta=1714036271297264,
seq_no=1,	ch0= 545, ch1=1572, ch2= 214, ch3=   0, ch4= 571, ch5= 528, ts=1714036271297440,	delta=176,
seq_no=2,	ch0= 349, ch1=1601, ch2= 410, ch3=   0, ch4= 485, ch5= 625, ts=1714036271297537,	delta=97,
seq_no=3,	ch0= 184, ch1=1584, ch2= 641, ch3=   0, ch4= 375, ch5= 700, ts=1714036271297627,	delta=90,
seq_no=4,	ch0=  13, ch1=1487, ch2= 867, ch3=  56, ch4= 269, ch5= 750, ts=1714036271297714,	delta=87,
seq_no=5,	ch0=   0, ch1=1359, ch2=1190, ch3=  90, ch4= 188, ch5= 760, ts=1714036271297747,	delta=33,
seq_no=6,	ch0=   0, ch1=1399, ch2=1016, ch3=  51, ch4= 177, ch5= 596, ts=1714036271297777,	delta=30,
seq_no=7,	ch0=   0, ch1=1238, ch2=1231, ch3= 128, ch4= 108, ch5= 613, ts=1714036271297806,	delta=29,
seq_no=8,	ch0=   0, ch1=1040, ch2=1432, ch3= 224, ch4=  42, ch5= 600, ts=1714036271297835,	delta=29,
seq_no=9,	ch0=   1, ch1= 823, ch2=1580, ch3= 284, ch4=   0, ch5= 554, ts=1714036271297863,	delta=28,
seq_no=10,	ch0= 136, ch1= 611, ch2=1757, ch3= 413, ch4=   0, ch5= 496, ts=1714036271298898,	delta=1035,
seq_no=11,	ch0= 294, ch1= 454, ch2=1735, ch3= 494, ch4=   0, ch5= 420, ts=1714036271298933,	delta=35,
seq_no=12,	ch0= 494, ch1= 210, ch2=1722, ch3= 565, ch4=  11, ch5= 356, ts=1714036271298964,	delta=31,
seq_no=13,	ch0= 612, ch1=  73, ch2=1641, ch3= 667, ch4=  10, ch5= 305, ts=1714036271299758,	delta=794,
seq_no=14,	ch0= 898, ch1=   0, ch2=1562, ch3= 634, ch4=  64, ch5= 176, ts=1714036271300561,	delta=803,
seq_no=15,	ch0=1127, ch1=   0, ch2=1280, ch3= 663, ch4= 165, ch5= 160, ts=1714036271301341,	delta=780,
seq_no=16,	ch0=1272, ch1=   0, ch2=1114, ch3= 653, ch4= 214, ch5=  45, ts=1714036271302457,	delta=1116,
seq_no=17,	ch0=1408, ch1=  56, ch2= 881, ch3= 625, ch4= 320, ch5=   0, ts=1714036271303068,	delta=611,
seq_no=18,	ch0=1504, ch1= 178, ch2= 647, ch3= 570, ch4= 402, ch5=   0, ts=1714036271303962,	delta=894,
seq_no=19,	ch0=1546, ch1= 337, ch2= 428, ch3= 493, ch4= 473, ch5=   0, ts=1714036271304789,	delta=827,
seq_no=20,	ch0=1532, ch1= 543, ch2= 238, ch3= 399, ch4= 535, ch5=   0, ts=1714036271305668,	delta=879,
seq_no=21,	ch0=1449, ch1= 748, ch2=  77, ch3= 296, ch4= 546, ch5=  20, ts=1714036271306533,	delta=865,
seq_no=22,	ch0=1321, ch1= 979, ch2=   0, ch3= 202, ch4= 585, ch5=  92, ts=1714036271307349,	delta=816,
seq_no=23,	ch0=1167, ch1=1161, ch2=   0, ch3= 130, ch4= 586, ch5= 151, ts=1714036271308216,	delta=867,
seq_no=24,	ch0= 979, ch1=1351, ch2=   0, ch3=  73, ch4= 594, ch5= 254, ts=1714036271309048,	delta=832,
seq_no=25,	ch0= 762, ch1=1386, ch2=  42, ch3=   5, ch4= 640, ch5= 320, ts=1714036271309869,	delta=821,
seq_no=26,	ch0= 625, ch1=1545, ch2= 229, ch3=   0, ch4= 472, ch5= 408, ts=1714036271310792,	delta=923,
seq_no=27,	ch0= 346, ch1=1641, ch2= 412, ch3=   0, ch4= 424, ch5= 526, ts=1714036271311524,	delta=732,
seq_no=28,	ch0= 194, ch1=1584, ch2= 624, ch3=   0, ch4= 328, ch5= 543, ts=1714036271312388,	delta=864,
seq_no=29,	ch0=  64, ch1=1496, ch2= 852, ch3=  14, ch4= 235, ch5= 581, ts=1714036271313287,	delta=899,
seq_no=30,	ch0=   0, ch1=1367, ch2=1077, ch3=  77, ch4= 168, ch5= 596, ts=1714036271314060,	delta=773,
seq_no=31,	ch0=   0, ch1=1190, ch2=1289, ch3= 157, ch4=  96, ch5= 604, ts=1714036271314890,	delta=830,
seq_no=32,	ch0=   0, ch1= 992, ch2=1480, ch3= 250, ch4=  33, ch5= 594, ts=1714036271315742,	delta=852,
seq_no=33,	ch0=  64, ch1= 771, ch2=1600, ch3= 352, ch4=   0, ch5= 517, ts=1714036271316525,	delta=783,
seq_no=34,	ch0= 192, ch1= 523, ch2=1697, ch3= 429, ch4=  30, ch5= 487, ts=1714036271317339,	delta=814,
seq_no=35,	ch0= 301, ch1= 361, ch2=1740, ch3= 565, ch4=   0, ch5= 407, ts=1714036271318171,	delta=832,
seq_no=36,	ch0= 543, ch1= 197, ch2=1708, ch3= 570, ch4=   0, ch5= 325, ts=1714036271319030,	delta=859,
seq_no=37,	ch0= 762, ch1=  66, ch2=1542, ch3= 631, ch4=  38, ch5= 307, ts=1714036271319857,	delta=827,
seq_no=38,	ch0= 953, ch1=   0, ch2=1466, ch3= 634, ch4= 161, ch5= 157, ts=1714036271320697,	delta=840,
seq_no=39,	ch0=1221, ch1=   0, ch2=1331, ch3= 664, ch4= 137, ch5=  82, ts=1714036271321536,	delta=839,
seq_no=40,	ch0=1314, ch1=   0, ch2=1042, ch3= 643, ch4= 253, ch5=  39, ts=1714036271322432,	delta=896,
seq_no=41,	ch0=1447, ch1=  83, ch2= 816, ch3= 603, ch4= 335, ch5=   0, ts=1714036271323254,	delta=822,
seq_no=42,	ch0=1527, ch1= 212, ch2= 590, ch3= 552, ch4= 410, ch5=   0, ts=1714036271324073,	delta=819,
seq_no=43,	ch0=1548, ch1= 398, ch2= 378, ch3= 472, ch4= 487, ch5=   0, ts=1714036271324911,	delta=838,
seq_no=44,	ch0=1504, ch1= 591, ch2= 192, ch3= 373, ch4= 543, ch5=   0, ts=1714036271325751,	delta=840,
seq_no=45,	ch0=1414, ch1= 814, ch2=  42, ch3= 276, ch4= 590, ch5=  34, ts=1714036271326735,	delta=984,
seq_no=46,	ch0=1304, ch1=1026, ch2=   0, ch3= 196, ch4= 604, ch5=  82, ts=1714036271327448,	delta=713,
seq_no=47,	ch0=1130, ch1=1217, ch2=   0, ch3= 106, ch4= 594, ch5= 178, ts=1714036271328281,	delta=833,
seq_no=48,	ch0= 913, ch1=1401, ch2=   2, ch3=  64, ch4= 566, ch5= 258, ts=1714036271329122,	delta=841,
seq_no=49,	ch0= 689, ch1=1563, ch2= 125, ch3=   0, ch4= 533, ch5= 338, ts=1714036271329963,	delta=841,
seq_no=50,	ch0= 543, ch1=1604, ch2= 210, ch3=   0, ch4= 489, ch5= 476, ts=1714036271330815,	delta=852,
seq_no=51,	ch0= 314, ch1=1534, ch2= 449, ch3=   0, ch4= 480, ch5= 490, ts=1714036271331644,	delta=829,
seq_no=52,	ch0= 164, ch1=1568, ch2= 670, ch3=   0, ch4= 320, ch5= 549, ts=1714036271332491,	delta=847,
seq_no=53,	ch0=  45, ch1=1472, ch2= 910, ch3=  26, ch4= 221, ch5= 591, ts=1714036271333374,	delta=883,
seq_no=54,	ch0=   0, ch1=1328, ch2=1137, ch3=  91, ch4= 144, ch5= 592, ts=1714036271335175,	delta=1801,
seq_no=55,	ch0=   0, ch1=1143, ch2=1344, ch3= 169, ch4=  73, ch5= 600, ts=1714036271335230,	delta=55,
seq_no=56,	ch0=   0, ch1= 938, ch2=1518, ch3= 274, ch4=  21, ch5= 586, ts=1714036271335944,	delta=714,
seq_no=57,	ch0=  37, ch1= 713, ch2=1656, ch3= 401, ch4=   0, ch5= 548, ts=1714036271336720,	delta=776,
seq_no=58,	ch0= 215, ch1= 498, ch2=1815, ch3= 457, ch4=   0, ch5= 470, ts=1714036271337629,	delta=909,
seq_no=59,	ch0= 406, ch1= 320, ch2=1728, ch3= 523, ch4=   0, ch5= 358, ts=1714036271338406,	delta=777,
seq_no=60,	ch0= 601, ch1= 146, ch2=1692, ch3= 591, ch4=  11, ch5= 305, ts=1714036271339255,	delta=849,
seq_no=61,	ch0= 711, ch1=  20, ch2=1572, ch3= 704, ch4=  25, ch5= 230, ts=1714036271340072,	delta=817,
seq_no=62,	ch0= 988, ch1=  11, ch2=1425, ch3= 638, ch4= 100, ch5= 121, ts=1714036271340913,	delta=841,
seq_no=63,	ch0=1200, ch1=   0, ch2=1142, ch3= 659, ch4= 208, ch5= 144, ts=1714036271341754,	delta=841,
seq_no=64,	ch0=1349, ch1=   0, ch2= 989, ch3= 645, ch4= 263, ch5=  25, ts=1714036271342647,	delta=893,
seq_no=65,	ch0=1472, ch1= 110, ch2= 750, ch3= 595, ch4= 365, ch5=   0, ts=1714036271343446,	delta=799,
seq_no=66,	ch0=1533, ch1= 260, ch2= 532, ch3= 525, ch4= 430, ch5=   0, ts=1714036271344280,	delta=834,
seq_no=67,	ch0=1543, ch1= 448, ch2= 331, ch3= 448, ch4= 505, ch5=   0, ts=1714036271345121,	delta=841,
seq_no=68,	ch0=1495, ch1= 647, ch2= 149, ch3= 357, ch4= 556, ch5=   0, ts=1714036271345963,	delta=842,
seq_no=69,	ch0=1397, ch1= 855, ch2=  22, ch3= 260, ch4= 581, ch5=  38, ts=1714036271346814,	delta=851,
seq_no=70,	ch0=1252, ch1=1072, ch2=   0, ch3= 160, ch4= 602, ch5= 113, ts=1714036271347646,	delta=832,
seq_no=71,	ch0=1068, ch1=1278, ch2=   1, ch3=  92, ch4= 600, ch5= 197, ts=1714036271348489,	delta=843,
seq_no=72,	ch0= 886, ch1=1424, ch2=   0, ch3=  34, ch4= 576, ch5= 267, ts=1714036271349330,	delta=841,
