seq_no=0,	ch0= 689, ch1= 427, ch2=   1, ch3= 134, ch4= 314, ch5=  23, ts=1714036228973205,	delta=1714036228973205,
seq_no=1,	ch0= 613, ch1= 522, ch2=   0, ch3=  86, ch4= 311, ch5=  68, ts=1714036228973387,	delta=182,
seq_no=2,	ch0= 530, ch1= 621, ch2=   0, ch3=  42, ch4= 315, ch5= 125, ts=1714036228973486,	delta=99,
seq_no=3,	ch0= 435, ch1= 695, ch2=   0, ch3=  14, ch4= 300, ch5= 158, ts=1714036228973573,	delta=87,
seq_no=4,	ch0= 324, ch1= 746, ch2=  57, ch3=   0, ch4= 274, ch5= 218, ts=1714036228973657,	delta=84,
seq_no=5,	ch0= 217, ch1= 783, ch2= 129, ch3=   0, ch4= 247, ch5= 261, ts=1714036228973690,	delta=33,
seq_no=6,	ch0= 468, ch1=1584, ch2= 293, ch3=   0, ch4= 538, ch5= 565, ts=1714036228973719,	delta=29,
seq_no=7,	ch0= 185, ch1=1574, ch2= 672, ch3=   0, ch4= 362, ch5= 759, ts=1714036228973748,	delta=29,
seq_no=8,	ch0=   2, ch1=1359, ch2= 922, ch3=  50, ch4= 293, ch5= 747, ts=1714036228973776,	delta=28,
seq_no=9,	ch0=   0, ch1=1285, ch2=1152, ch3= 193, ch4= 137, ch5= 761, ts=1714036228973804,	delta=28,
seq_no=10,	ch0=   0, ch1=1109, ch2=1371, ch3= 239, ch4=  79, ch5= 764, ts=1714036228973832,	delta=28,
seq_no=11,	ch0=   0, ch1= 899, ch2=1542, ch3= 348, ch4=  20, ch5= 728, ts=1714036228974231,	delta=399,
seq_no=12,	ch0=  98, ch1= 682, ch2=1671, ch3= 471, ch4=   0, ch5= 683, ts=1714036228975061,	delta=830,
seq_no=13,	ch0= 253, ch1= 477, ch2=1728, ch3= 566, ch4=   0, ch5= 598, ts=1714036228975879,	delta=818,
seq_no=14,	ch0= 430, ch1= 290, ch2=1735, ch3= 649, ch4=   0, ch5= 489, ts=1714036228976713,	delta=834,
seq_no=15,	ch0= 634, ch1= 129, ch2=1668, ch3= 711, ch4=   0, ch5= 393, ts=1714036228980961,	delta=4248,
seq_no=16,	ch0= 851, ch1=  69, ch2=1549, ch3= 765, ch4=  58, ch5= 256, ts=1714036228981022,	delta=61,
seq_no=17,	ch0=1103, ch1=   0, ch2=1395, ch3= 786, ch4= 121, ch5= 170, ts=1714036228981053,	delta=31,
seq_no=18,	ch0=1208, ch1=   0, ch2=1183, ch3= 773, ch4= 236, ch5=  98, ts=1714036228981082,	delta=29,
seq_no=19,	ch0=1369, ch1=  37, ch2= 996, ch3= 764, ch4= 366, ch5=  36, ts=1714036228981111,	delta=29,
seq_no=20,	ch0=1474, ch1= 210, ch2= 708, ch3= 728, ch4= 434, ch5=   0, ts=1714036228981794,	delta=683,
seq_no=21,	ch0=1663, ch1= 267, ch2= 509, ch3= 618, ch4= 456, ch5=   0, ts=1714036228982747,	delta=953,
seq_no=22,	ch0=1529, ch1= 480, ch2= 299, ch3= 516, ch4= 591, ch5=   0, ts=1714036228983459,	delta=712,
seq_no=23,	ch0=1475, ch1= 686, ch2= 122, ch3= 407, ch4= 651, ch5=  12, ts=1714036228984295,	delta=836,
seq_no=24,	ch0=1372, ch1= 910, ch2=   0, ch3= 286, ch4= 687, ch5=  73, ts=1714036228985134,	delta=839,
seq_no=25,	ch0=1216, ch1=1101, ch2=   0, ch3= 188, ch4= 697, ch5= 165, ts=1714036228985975,	delta=841,
seq_no=26,	ch0=1040, ch1=1287, ch2=   0, ch3= 101, ch4= 682, ch5= 264, ts=1714036228986820,	delta=845,
seq_no=27,	ch0= 840, ch1=1444, ch2=  25, ch3=  42, ch4= 653, ch5= 372, ts=1714036228987748,	delta=928,
seq_no=28,	ch0= 622, ch1=1550, ch2= 155, ch3=   0, ch4= 600, ch5= 482, ts=1714036228988671,	delta=923,
seq_no=29,	ch0= 405, ch1=1584, ch2= 321, ch3=   0, ch4= 521, ch5= 588, ts=1714036228989516,	delta=845,
seq_no=30,	ch0= 249, ch1=1588, ch2= 545, ch3=   0, ch4= 410, ch5= 665, ts=1714036228990338,	delta=822,
seq_no=31,	ch0=  73, ch1=1550, ch2= 800, ch3=   0, ch4= 311, ch5= 749, ts=1714036228991255,	delta=917,
seq_no=32,	ch0=   0, ch1=1400, ch2= 946, ch3=  54, ch4= 201, ch5= 854, ts=1714036228991994,	delta=739,
seq_no=33,	ch0=  17, ch1=1292, ch2=1205, ch3= 171, ch4= 123, ch5= 754, ts=1714036228992804,	delta=810,
seq_no=34,	ch0=   0, ch1=1063, ch2=1423, ch3= 266, ch4=  65, ch5= 759, ts=1714036228993673,	delta=869,
seq_no=35,	ch0=  12, ch1= 832, ch2=1582, ch3= 379, ch4=   5, ch5= 718, ts=1714036228994521,	delta=848,
seq_no=36,	ch0= 144, ch1= 615, ch2=1681, ch3= 497, ch4=   0, ch5= 656, ts=1714036228995344,	delta=823,
seq_no=37,	ch0= 290, ch1= 421, ch2=1735, ch3= 583, ch4=   0, ch5= 576, ts=1714036228996165,	delta=821,
seq_no=38,	ch0= 484, ch1= 244, ch2=1728, ch3= 666, ch4=   0, ch5= 470, ts=1714036228997011,	delta=846,
seq_no=39,	ch0= 683, ch1=  91, ch2=1646, ch3= 767, ch4=  11, ch5= 342, ts=1714036228997860,	delta=849,
seq_no=40,	ch0= 890, ch1=   0, ch2=1604, ch3= 773, ch4=  81, ch5= 236, ts=1714036228998779,	delta=919,
seq_no=41,	ch0=1094, ch1=   0, ch2=1330, ch3= 794, ch4= 162, ch5= 117, ts=1714036228999478,	delta=699,
seq_no=42,	ch0=1260, ch1=   0, ch2=1115, ch3= 788, ch4= 299, ch5=  69, ts=1714036229000383,	delta=905,
seq_no=43,	ch0=1460, ch1=  49, ch2= 907, ch3= 799, ch4= 343, ch5=  13, ts=1714036229001224,	delta=841,
seq_no=44,	ch0=1481, ch1= 208, ch2= 673, ch3= 663, ch4= 450, ch5=   8, ts=1714036229002007,	delta=783,
seq_no=45,	ch0=1564, ch1= 324, ch2= 389, ch3= 596, ch4= 552, ch5=  34, ts=1714036229002928,	delta=921,
seq_no=46,	ch0=1522, ch1= 540, ch2= 249, ch3= 496, ch4= 625, ch5=   0, ts=1714036229003740,	delta=812,
seq_no=47,	ch0=1452, ch1= 745, ch2=  92, ch3= 377, ch4= 659, ch5=  22, ts=1714036229004618,	delta=878,
seq_no=48,	ch0=1344, ch1= 966, ch2=   0, ch3= 268, ch4= 696, ch5=  96, ts=1714036229005456,	delta=838,
seq_no=49,	ch0=1175, ch1=1160, ch2=   0, ch3= 165, ch4= 700, ch5= 184, ts=1714036229006328,	delta=872,
seq_no=50,	ch0= 986, ch1=1331, ch2=   1, ch3=  85, ch4= 679, ch5= 300, ts=1714036229007166,	delta=838,
seq_no=51,	ch0= 780, ch1=1467, ch2=  43, ch3=  34, ch4= 632, ch5= 404, ts=1714036229008040,	delta=874,
seq_no=52,	ch0= 558, ch1=1583, ch2= 202, ch3=   0, ch4= 576, ch5= 515, ts=1714036229008864,	delta=824,
seq_no=53,	ch0= 381, ch1=1603, ch2= 393, ch3=   0, ch4= 500, ch5= 620, ts=1714036229009706,	delta=842,
seq_no=54,	ch0= 213, ch1=1573, ch2= 589, ch3=   0, ch4= 397, ch5= 666, ts=1714036229010533,	delta=827,
seq_no=55,	ch0=  42, ch1=1405, ch2= 821, ch3=  30, ch4= 346, ch5= 711, ts=1714036229011358,	delta=825,
seq_no=56,	ch0=   0, ch1=1346, ch2=1048, ch3= 151, ch4= 177, ch5= 774, ts=1714036229012195,	delta=837,
seq_no=57,	ch0=   0, ch1=1233, ch2=1288, ch3= 154, ch4= 105, ch5= 796, ts=1714036229013029,	delta=834,
seq_no=58,	ch0=   0, ch1=1000, ch2=1462, ch3= 287, ch4=  38, ch5= 746, ts=1714036229013872,	delta=843,
seq_no=59,	ch0=  37, ch1= 784, ch2=1618, ch3= 409, ch4=   0, ch5= 707, ts=1714036229014833,	delta=961,
seq_no=60,	ch0= 159, ch1= 568, ch2=1707, ch3= 518, ch4=   0, ch5= 637, ts=1714036229015544,	delta=711,
seq_no=61,	ch0= 343, ch1= 365, ch2=1731, ch3= 611, ch4=   0, ch5= 540, ts=1714036229016422,	delta=878,
seq_no=62,	ch0= 535, ch1= 196, ch2=1699, ch3= 688, ch4=   0, ch5= 439, ts=1714036229017194,	delta=772,
seq_no=63,	ch0= 746, ch1=  79, ch2=1619, ch3= 738, ch4=  23, ch5= 320, ts=1714036229018011,	delta=817,
seq_no=64,	ch0= 947, ch1=   0, ch2=1472, ch3= 780, ch4=  64, ch5= 209, ts=1714036229018861,	delta=850,
seq_no=65,	ch0=1103, ch1=   0, ch2=1285, ch3= 823, ch4= 186, ch5= 122, ts=1714036229019677,	delta=816,
seq_no=66,	ch0=1290, ch1=   0, ch2=1130, ch3= 789, ch4= 293, ch5=  57, ts=1714036229020515,	delta=838,
seq_no=67,	ch0=1487, ch1=  74, ch2= 794, ch3= 747, ch4= 389, ch5=   0, ts=1714036229021352,	delta=837,
seq_no=68,	ch0=1528, ch1= 144, ch2= 593, ch3= 683, ch4= 529, ch5=   0, ts=1714036229022199,	delta=847,
seq_no=69,	ch0=1437, ch1= 373, ch2= 374, ch3= 627, ch4= 541, ch5=  26, ts=1714036229023402,	delta=1203,
seq_no=70,	ch0=1513, ch1= 597, ch2= 200, ch3= 460, ch4= 625, ch5=   0, ts=1714036229023928,	delta=526,
seq_no=71,	ch0=1429, ch1= 795, ch2=  58, ch3= 349, ch4= 674, ch5=  47, ts=1714036229024734,	delta=806,
seq_no=72,	ch0=1303, ch1=1005, ch2=   0, ch3= 244, ch4= 692, ch5= 110, ts=1714036229025568,	delta=834,
seq_no=73,	ch0=1132, ch1=1209, ch2=   0, ch3= 139, ch4= 706, ch5= 216, ts=1714036229026410,	delta=842,
seq_no=74,	ch0= 932, ch1=1376, ch2=   0, ch3=  67, ch4= 677, ch5= 326, ts=1714036229027269,	delta=859,
