seq_no=0,	ch0= 272, ch1=1614, ch2= 494, ch3=   0, ch4= 666, ch5= 883, ts=1714038002723312,	delta=1714038002723312,
seq_no=1,	ch0= 138, ch1=1550, ch2= 712, ch3=   0, ch4= 519, ch5= 970, ts=1714038002723546,	delta=234,
seq_no=2,	ch0=   8, ch1=1452, ch2= 944, ch3=  54, ch4= 368, ch5=1023, ts=1714038002723652,	delta=106,
seq_no=3,	ch0=  29, ch1=1272, ch2=1176, ch3= 192, ch4= 210, ch5=1043, ts=1714038002723744,	delta=92,
seq_no=4,	ch0=   0, ch1=1113, ch2=1376, ch3= 290, ch4= 123, ch5=1068, ts=1714038002723832,	delta=88,
seq_no=5,	ch0=   0, ch1= 874, ch2=1455, ch3= 512, ch4=  50, ch5=1103, ts=1714038002723917,	delta=85,
seq_no=6,	ch0= 104, ch1= 675, ch2=1662, ch3= 666, ch4=   4, ch5= 940, ts=1714038002723949,	delta=32,
seq_no=7,	ch0= 256, ch1= 470, ch2=1728, ch3= 806, ch4=   0, ch5= 824, ts=1714038002723979,	delta=30,
seq_no=8,	ch0= 437, ch1= 286, ch2=1736, ch3= 938, ch4=   0, ch5= 671, ts=1714038002724008,	delta=29,
seq_no=9,	ch0= 633, ch1= 135, ch2=1682, ch3=1022, ch4=   8, ch5= 513, ts=1714038002724036,	delta=28,
seq_no=10,	ch0= 843, ch1=  11, ch2=1564, ch3=1103, ch4=  88, ch5= 386, ts=1714038002724065,	delta=29,
seq_no=11,	ch0=1121, ch1=   0, ch2=1390, ch3=1143, ch4= 192, ch5= 250, ts=1714038002724093,	delta=28,
seq_no=12,	ch0=1192, ch1=   0, ch2=1193, ch3=1169, ch4= 345, ch5= 146, ts=1714038002724121,	delta=28,
seq_no=13,	ch0=1358, ch1=  17, ch2=1040, ch3=1104, ch4= 489, ch5=  56, ts=1714038002724150,	delta=29,
seq_no=14,	ch0=1485, ch1= 141, ch2= 708, ch3=1039, ch4= 625, ch5=   0, ts=1714038002724179,	delta=29,
seq_no=15,	ch0=1548, ch1= 241, ch2= 501, ch3= 927, ch4= 784, ch5=   0, ts=1714038002724208,	delta=29,
seq_no=16,	ch0=1472, ch1= 470, ch2= 293, ch3= 798, ch4= 858, ch5=  23, ts=1714038002724236,	delta=28,
seq_no=17,	ch0=1472, ch1= 658, ch2= 214, ch3= 579, ch4= 953, ch5=  10, ts=1714038002724265,	delta=29,
seq_no=18,	ch0=1369, ch1= 907, ch2=   8, ch3= 427, ch4= 993, ch5=  99, ts=1714038002724294,	delta=29,
seq_no=19,	ch0=1209, ch1=1115, ch2=   0, ch3= 296, ch4=1026, ch5= 217, ts=1714038002724453,	delta=159,
seq_no=20,	ch0=1032, ch1=1295, ch2=   0, ch3= 185, ch4=1022, ch5= 357, ts=1714038002724491,	delta=38,
seq_no=21,	ch0= 833, ch1=1440, ch2=  15, ch3=  85, ch4= 981, ch5= 518, ts=1714038002724521,	delta=30,
seq_no=22,	ch0= 619, ch1=1551, ch2= 165, ch3=   1, ch4= 891, ch5= 666, ts=1714038002724550,	delta=29,
seq_no=23,	ch0= 427, ch1=1600, ch2= 327, ch3=   0, ch4= 757, ch5= 792, ts=1714038002725333,	delta=783,
seq_no=24,	ch0= 221, ch1=1606, ch2= 546, ch3=   0, ch4= 610, ch5= 904, ts=1714038002726136,	delta=803,
seq_no=25,	ch0= 146, ch1=1560, ch2= 690, ch3=   0, ch4= 538, ch5= 969, ts=1714038002726983,	delta=847,
seq_no=26,	ch0=1546, ch1= 463, ch2= 305, ch3= 772, ch4= 852, ch5=   0, ts=1714038002727799,	delta=816,
seq_no=27,	ch0=1485, ch1= 669, ch2= 122, ch3= 608, ch4= 931, ch5=   9, ts=1714038002728638,	delta=839,
seq_no=28,	ch0=1379, ch1= 786, ch2=   4, ch3= 437, ch4=1053, ch5=  79, ts=1714038002729477,	delta=839,
seq_no=29,	ch0=1285, ch1=1081, ch2=  10, ch3= 354, ch4=1003, ch5= 206, ts=1714038002730318,	delta=841,
seq_no=30,	ch0=1055, ch1=1319, ch2=   2, ch3= 165, ch4=1027, ch5= 377, ts=1714038002731174,	delta=856,
seq_no=31,	ch0= 851, ch1=1429, ch2=   2, ch3=  86, ch4= 980, ch5= 502, ts=1714038002732003,	delta=829,
seq_no=32,	ch0= 645, ch1=1543, ch2= 142, ch3=  18, ch4= 885, ch5= 650, ts=1714038002732845,	delta=842,
seq_no=33,	ch0= 443, ch1=1603, ch2= 320, ch3=   0, ch4= 780, ch5= 779, ts=1714038002733687,	delta=842,
seq_no=34,	ch0= 257, ch1=1592, ch2= 522, ch3=   0, ch4= 638, ch5= 897, ts=1714038002734530,	delta=843,
seq_no=35,	ch0= 114, ch1=1533, ch2= 755, ch3=   0, ch4= 493, ch5= 973, ts=1714038002735379,	delta=849,
seq_no=36,	ch0=   2, ch1=1363, ch2= 966, ch3=  70, ch4= 421, ch5=1025, ts=1714038002736216,	delta=837,
seq_no=37,	ch0=  51, ch1=1253, ch2=1203, ch3= 199, ch4= 202, ch5=1054, ts=1714038002737056,	delta=840,
seq_no=38,	ch0=   0, ch1=1075, ch2=1400, ch3= 334, ch4= 111, ch5=1048, ts=1714038002737900,	delta=844,
seq_no=39,	ch0=   4, ch1= 862, ch2=1567, ch3= 516, ch4=  42, ch5=1084, ts=1714038002738751,	delta=851,
seq_no=40,	ch0= 136, ch1= 723, ch2=1662, ch3= 722, ch4=   0, ch5= 881, ts=1714038002739652,	delta=901,
seq_no=41,	ch0= 400, ch1= 429, ch2=1740, ch3= 832, ch4=   0, ch5= 788, ts=1714038002740447,	delta=795,
