seq_no=0,	ch0= 166, ch1=1575, ch2= 635, ch3=   0, ch4=  76, ch5= 150, ts=1714036499370456,	delta=1714036499370456,
seq_no=1,	ch0=  43, ch1=1496, ch2= 920, ch3=   4, ch4=  56, ch5= 168, ts=1714036499378892,	delta=8436,
seq_no=2,	ch0=   0, ch1=1449, ch2=1088, ch3=  18, ch4=  11, ch5= 107, ts=1714036499379138,	delta=246,
seq_no=3,	ch0=   0, ch1=1103, ch2=1303, ch3=  57, ch4=  58, ch5= 152, ts=1714036499379238,	delta=100,
seq_no=4,	ch0=  64, ch1= 952, ch2=1543, ch3=  91, ch4=   0, ch5= 161, ts=1714036499379327,	delta=89,
seq_no=5,	ch0=  53, ch1= 752, ch2=1624, ch3= 106, ch4=   0, ch5= 149, ts=1714036499379413,	delta=86,
seq_no=6,	ch0= 188, ch1= 532, ch2=1705, ch3= 145, ch4=   0, ch5= 138, ts=1714036499379497,	delta=84,
seq_no=7,	ch0=  79, ch1= 714, ch2=1653, ch3=  75, ch4=   0, ch5=  70, ts=1714036499379531,	delta=34,
seq_no=8,	ch0= 218, ch1= 505, ch2=1732, ch3=  90, ch4=   0, ch5=  64, ts=1714036499379560,	delta=29,
seq_no=9,	ch0=1496, ch1= 659, ch2= 144, ch3=  52, ch4=  79, ch5=   0, ts=1714036499379589,	delta=29,
seq_no=10,	ch0=1391, ch1= 876, ch2=  19, ch3=  37, ch4=  65, ch5=   0, ts=1714036499379617,	delta=28,
seq_no=11,	ch0=1250, ch1=1078, ch2=   0, ch3=  29, ch4=  76, ch5=   0, ts=1714036499379646,	delta=29,
seq_no=12,	ch0=1065, ch1=1265, ch2=   0, ch3=  16, ch4=  69, ch5=  18, ts=1714036499379674,	delta=28,
seq_no=13,	ch0= 869, ch1=1397, ch2=   0, ch3=  10, ch4=  68, ch5=  24, ts=1714036499379702,	delta=28,
seq_no=14,	ch0= 656, ch1=1512, ch2= 139, ch3=   1, ch4=  64, ch5=  51, ts=1714036499380033,	delta=331,
seq_no=15,	ch0= 455, ch1=1600, ch2= 306, ch3=   0, ch4=  42, ch5=  64, ts=1714036499380907,	delta=874,
seq_no=16,	ch0= 282, ch1=1592, ch2= 616, ch3=   0, ch4=  40, ch5=  81, ts=1714036499381694,	delta=787,
seq_no=17,	ch0= 177, ch1=1574, ch2= 704, ch3=  14, ch4=  25, ch5= 125, ts=1714036499382521,	delta=827,
seq_no=18,	ch0=   0, ch1=1335, ch2= 968, ch3=  10, ch4=  79, ch5=  57, ts=1714036499383400,	delta=879,
seq_no=19,	ch0=  29, ch1=1275, ch2=1197, ch3=  37, ch4=   0, ch5=  72, ts=1714036499384212,	delta=812,
seq_no=20,	ch0=   0, ch1=1103, ch2=1392, ch3=  50, ch4=   0, ch5=  74, ts=1714036499385049,	delta=837,
seq_no=21,	ch0=   5, ch1= 886, ch2=1560, ch3=  72, ch4=   0, ch5=  75, ts=1714036499385888,	delta=839,
seq_no=22,	ch0= 118, ch1= 673, ch2=1678, ch3=  84, ch4=   0, ch5=  75, ts=1714036499386742,	delta=854,
seq_no=23,	ch0= 263, ch1= 470, ch2=1743, ch3=  97, ch4=   0, ch5=  43, ts=1714036499387572,	delta=830,
seq_no=24,	ch0= 454, ch1= 285, ch2=1738, ch3= 109, ch4=   0, ch5=  40, ts=1714036499388410,	delta=838,
seq_no=25,	ch0= 712, ch1= 116, ch2=1686, ch3= 118, ch4=   0, ch5=  29, ts=1714036499389252,	delta=842,
seq_no=26,	ch0= 838, ch1=   6, ch2=1543, ch3=  86, ch4=   0, ch5=  10, ts=1714036499390094,	delta=842,
seq_no=27,	ch0=1046, ch1=   0, ch2=1454, ch3= 124, ch4=   0, ch5=   2, ts=1714036499390940,	delta=846,
seq_no=28,	ch0=1217, ch1=   0, ch2=1101, ch3= 121, ch4=  12, ch5=  57, ts=1714036499391773,	delta=833,
seq_no=29,	ch0=1380, ch1= 114, ch2= 923, ch3= 153, ch4=  48, ch5=   0, ts=1714036499392614,	delta=841,
seq_no=30,	ch0=1509, ch1=  88, ch2= 695, ch3= 106, ch4=  33, ch5=   0, ts=1714036499393459,	delta=845,
seq_no=31,	ch0=1509, ch1= 301, ch2= 480, ch3= 123, ch4=  57, ch5=   0, ts=1714036499394300,	delta=841,
seq_no=32,	ch0=1542, ch1= 486, ch2= 282, ch3=  77, ch4=  69, ch5=   0, ts=1714036499395148,	delta=848,
seq_no=33,	ch0=1479, ch1= 695, ch2= 101, ch3=  64, ch4=  71, ch5=   0, ts=1714036499395984,	delta=836,
seq_no=34,	ch0=1368, ch1= 917, ch2=   0, ch3=  40, ch4=  73, ch5=   0, ts=1714036499396821,	delta=837,
seq_no=35,	ch0=1208, ch1=1120, ch2=   0, ch3=  31, ch4=  72, ch5=   6, ts=1714036499397665,	delta=844,
seq_no=36,	ch0=1026, ch1=1308, ch2=   0, ch3=  21, ch4=  76, ch5=  22, ts=1714036499398506,	delta=841,
seq_no=37,	ch0= 800, ch1=1437, ch2=  32, ch3=   9, ch4=  66, ch5=  48, ts=1714036499399353,	delta=847,
seq_no=38,	ch0= 608, ch1=1574, ch2= 170, ch3=   4, ch4=  57, ch5=  51, ts=1714036499400251,	delta=898,
seq_no=39,	ch0= 437, ch1=1606, ch2= 336, ch3=   0, ch4=  56, ch5=  64, ts=1714036499401040,	delta=789,
seq_no=40,	ch0= 225, ch1=1696, ch2= 546, ch3=  23, ch4=  54, ch5=  22, ts=1714036499401932,	delta=892,
seq_no=41,	ch0= 111, ch1=1480, ch2= 791, ch3=  22, ch4=  10, ch5=  67, ts=1714036499402747,	delta=815,
seq_no=42,	ch0=   0, ch1=1401, ch2=1015, ch3=  97, ch4=   0, ch5=  76, ts=1714036499403566,	delta=819,
seq_no=43,	ch0=   0, ch1=1248, ch2=1242, ch3=  18, ch4=   0, ch5=  86, ts=1714036499404403,	delta=837,
seq_no=44,	ch0=   0, ch1=1048, ch2=1422, ch3=  52, ch4=   0, ch5=  83, ts=1714036499405239,	delta=836,
seq_no=45,	ch0=  27, ch1= 836, ch2=1600, ch3=  73, ch4=   0, ch5=  72, ts=1714036499406080,	delta=841,
seq_no=46,	ch0= 146, ch1= 618, ch2=1702, ch3=  73, ch4=   0, ch5=  69, ts=1714036499406933,	delta=853,
seq_no=47,	ch0= 301, ch1= 420, ch2=1744, ch3=  91, ch4=   0, ch5=  55, ts=1714036499407767,	delta=834,
seq_no=48,	ch0= 498, ch1= 238, ch2=1736, ch3= 110, ch4=   0, ch5=  38, ts=1714036499408607,	delta=840,
seq_no=49,	ch0= 686, ch1=  92, ch2=1640, ch3=  90, ch4=   0, ch5=  21, ts=1714036499409445,	delta=838,
seq_no=50,	ch0= 909, ch1=  13, ch2=1552, ch3= 117, ch4=   0, ch5=   9, ts=1714036499410287,	delta=842,
seq_no=51,	ch0=1109, ch1=   1, ch2=1312, ch3= 117, ch4=   0, ch5=   0, ts=1714036499411138,	delta=851,
seq_no=52,	ch0=1301, ch1=  41, ch2=1102, ch3= 128, ch4=   9, ch5=   0, ts=1714036499412046,	delta=908,
seq_no=53,	ch0=1431, ch1=  14, ch2= 874, ch3=  96, ch4=   0, ch5=   0, ts=1714036499413306,	delta=1260,
seq_no=54,	ch0=1423, ch1= 170, ch2= 642, ch3= 150, ch4=  22, ch5=  18, ts=1714036499413830,	delta=524,
seq_no=55,	ch0=1545, ch1= 346, ch2= 439, ch3=  77, ch4=  55, ch5=   0, ts=1714036499414526,	delta=696,
seq_no=56,	ch0=1533, ch1= 543, ch2= 244, ch3=  68, ch4=  69, ch5=   0, ts=1714036499415368,	delta=842,
seq_no=57,	ch0=1452, ch1= 757, ch2=  85, ch3=  52, ch4=  79, ch5=   0, ts=1714036499416193,	delta=825,
seq_no=58,	ch0=1331, ch1= 972, ch2=   0, ch3=  39, ch4=  71, ch5=   0, ts=1714036499417028,	delta=835,
seq_no=59,	ch0=1165, ch1=1169, ch2=   0, ch3=  25, ch4=  74, ch5=   2, ts=1714036499417867,	delta=839,
seq_no=60,	ch0= 974, ch1=1341, ch2=   0, ch3=  16, ch4=  68, ch5=  12, ts=1714036499418714,	delta=847,
seq_no=61,	ch0= 765, ch1=1495, ch2=  65, ch3=  12, ch4=  68, ch5=  27, ts=1714036499419547,	delta=833,
seq_no=62,	ch0= 557, ch1=1566, ch2= 193, ch3=   5, ch4=  64, ch5=  51, ts=1714036499420389,	delta=842,
seq_no=63,	ch0= 370, ch1=1615, ch2= 408, ch3=   9, ch4=  48, ch5=  65, ts=1714036499421231,	delta=842,
seq_no=64,	ch0= 196, ch1=1548, ch2= 615, ch3=   0, ch4=   0, ch5=  66, ts=1714036499422070,	delta=839,
seq_no=65,	ch0=   0, ch1=1489, ch2= 821, ch3=  85, ch4=  10, ch5=  74, ts=1714036499422917,	delta=847,
