seq_no=0,	ch0= 765, ch1=1501, ch2=  64, ch3=   0, ch4= 243, ch5= 155, ts=1714036481672223,	delta=1714036481672223,
seq_no=1,	ch0= 552, ch1=1574, ch2= 201, ch3=   0, ch4= 220, ch5= 201, ts=1714036481673654,	delta=1431,
seq_no=2,	ch0= 362, ch1=1604, ch2= 410, ch3=   0, ch4= 171, ch5= 223, ts=1714036481674814,	delta=1160,
seq_no=3,	ch0= 185, ch1=1578, ch2= 632, ch3=   0, ch4= 140, ch5= 256, ts=1714036481674991,	delta=177,
seq_no=4,	ch0=  98, ch1=1490, ch2= 864, ch3=   8, ch4=  67, ch5= 272, ts=1714036481675088,	delta=97,
seq_no=5,	ch0=   0, ch1=1355, ch2=1088, ch3=  69, ch4=  54, ch5= 282, ts=1714036481675176,	delta=88,
seq_no=6,	ch0=   0, ch1=1180, ch2=1287, ch3=  71, ch4=  21, ch5= 274, ts=1714036481675263,	delta=87,
seq_no=7,	ch0= 576, ch1= 173, ch2=1680, ch3= 188, ch4=   0, ch5=  90, ts=1714036481675296,	delta=33,
seq_no=8,	ch0= 788, ch1=  42, ch2=1593, ch3= 202, ch4=   0, ch5=  64, ts=1714036481675326,	delta=30,
seq_no=9,	ch0=1074, ch1=   0, ch2=1243, ch3= 260, ch4=  32, ch5=  36, ts=1714036481675355,	delta=29,
seq_no=10,	ch0=1455, ch1=  87, ch2= 786, ch3= 176, ch4=  98, ch5=   0, ts=1714036481675383,	delta=28,
seq_no=11,	ch0=1531, ch1= 233, ch2= 565, ch3= 162, ch4= 111, ch5=   0, ts=1714036481675412,	delta=29,
seq_no=12,	ch0=1554, ch1= 420, ch2= 352, ch3= 139, ch4= 133, ch5=   0, ts=1714036481675440,	delta=28,
seq_no=13,	ch0=1510, ch1= 633, ch2= 173, ch3= 112, ch4= 157, ch5=   0, ts=1714036481675469,	delta=29,
seq_no=14,	ch0=1410, ch1= 838, ch2=  36, ch3=  75, ch4= 165, ch5=   2, ts=1714036481675860,	delta=391,
seq_no=15,	ch0=1264, ch1=1051, ch2=  46, ch3=  45, ch4= 169, ch5=  46, ts=1714036481676691,	delta=831,
seq_no=16,	ch0=1088, ch1=1347, ch2=   0, ch3=  25, ch4= 165, ch5=  19, ts=1714036481679261,	delta=2570,
seq_no=17,	ch0= 888, ch1=1349, ch2=   0, ch3=   0, ch4= 213, ch5=  64, ts=1714036481679333,	delta=72,
seq_no=18,	ch0= 741, ch1=1512, ch2= 105, ch3=   0, ch4= 124, ch5=  91, ts=1714036481679364,	delta=31,
seq_no=19,	ch0= 441, ch1=1587, ch2= 281, ch3=   0, ch4= 123, ch5= 130, ts=1714036481680105,	delta=741,
seq_no=20,	ch0= 282, ch1=1576, ch2= 580, ch3=   0, ch4= 102, ch5= 154, ts=1714036481680934,	delta=829,
seq_no=21,	ch0= 177, ch1=1580, ch2= 661, ch3=   0, ch4=  96, ch5= 202, ts=1714036481681739,	delta=805,
seq_no=22,	ch0=  21, ch1=1452, ch2= 926, ch3=   0, ch4=  51, ch5= 176, ts=1714036481682804,	delta=1065,
seq_no=23,	ch0=   0, ch1=1301, ch2=1162, ch3=  24, ch4=  23, ch5= 178, ts=1714036481683422,	delta=618,
seq_no=24,	ch0=   0, ch1=1116, ch2=1363, ch3=  56, ch4=   0, ch5= 171, ts=1714036481684267,	delta=845,
seq_no=25,	ch0=   0, ch1= 904, ch2=1533, ch3=  85, ch4=   0, ch5= 161, ts=1714036481685122,	delta=855,
seq_no=26,	ch0=  91, ch1= 688, ch2=1665, ch3= 121, ch4=   0, ch5= 145, ts=1714036481685947,	delta=825,
seq_no=27,	ch0= 245, ch1= 488, ch2=1735, ch3= 145, ch4=   0, ch5= 122, ts=1714036481686966,	delta=1019,
seq_no=28,	ch0= 427, ch1= 286, ch2=1737, ch3= 177, ch4=   0, ch5=  96, ts=1714036481687598,	delta=632,
seq_no=29,	ch0= 591, ch1= 149, ch2=1682, ch3= 194, ch4=   0, ch5=  78, ts=1714036481688402,	delta=804,
seq_no=30,	ch0= 832, ch1=  31, ch2=1575, ch3= 200, ch4=   2, ch5=  46, ts=1714036481689228,	delta=826,
seq_no=31,	ch0=1021, ch1=   0, ch2=1401, ch3= 206, ch4=  12, ch5= 113, ts=1714036481690063,	delta=835,
seq_no=32,	ch0=1237, ch1=   0, ch2=1162, ch3= 206, ch4=  28, ch5=   0, ts=1714036481690917,	delta=854,
seq_no=33,	ch0=1331, ch1=   0, ch2= 961, ch3= 186, ch4= 138, ch5=   0, ts=1714036481691747,	delta=830,
seq_no=34,	ch0=1478, ch1= 117, ch2= 740, ch3= 181, ch4= 102, ch5=   0, ts=1714036481692586,	delta=839,
seq_no=35,	ch0=1544, ch1= 272, ch2= 503, ch3= 158, ch4= 125, ch5=   0, ts=1714036481693425,	delta=839,
seq_no=36,	ch0=1552, ch1= 467, ch2= 294, ch3= 122, ch4= 145, ch5=   0, ts=1714036481694269,	delta=844,
seq_no=37,	ch0=1487, ch1= 680, ch2= 140, ch3=  93, ch4= 162, ch5=   0, ts=1714036481695122,	delta=853,
seq_no=38,	ch0=1385, ch1= 899, ch2=   6, ch3=  59, ch4= 157, ch5=   9, ts=1714036481695954,	delta=832,
seq_no=39,	ch0=1299, ch1=1095, ch2=   0, ch3=  41, ch4= 149, ch5=  25, ts=1714036481696796,	delta=842,
seq_no=40,	ch0=1035, ch1=1285, ch2=   0, ch3=   0, ch4= 151, ch5=  48, ts=1714036481697702,	delta=906,
seq_no=41,	ch0= 847, ch1=1435, ch2= 103, ch3=   0, ch4= 146, ch5=  75, ts=1714036481698493,	delta=791,
seq_no=42,	ch0= 632, ch1=1543, ch2= 125, ch3=   0, ch4= 130, ch5= 137, ts=1714036481699359,	delta=866,
seq_no=43,	ch0= 432, ch1=1479, ch2= 320, ch3=   0, ch4= 203, ch5=  93, ts=1714036481700176,	delta=817,
seq_no=44,	ch0= 362, ch1=1572, ch2= 567, ch3=   0, ch4=  64, ch5= 139, ts=1714036481701008,	delta=832,
seq_no=45,	ch0=  64, ch1=1529, ch2= 753, ch3=   0, ch4=  64, ch5= 154, ts=1714036481701847,	delta=839,
seq_no=46,	ch0=   0, ch1=1421, ch2= 985, ch3=  13, ch4=  40, ch5= 173, ts=1714036481702705,	delta=858,
seq_no=47,	ch0=   0, ch1=1255, ch2=1209, ch3=  45, ch4=  21, ch5= 185, ts=1714036481703533,	delta=828,
seq_no=48,	ch0=   0, ch1=1058, ch2=1408, ch3=  74, ch4=   2, ch5= 171, ts=1714036481704372,	delta=839,
seq_no=49,	ch0=  16, ch1= 857, ch2=1565, ch3=  98, ch4=   0, ch5= 158, ts=1714036481705214,	delta=842,
seq_no=50,	ch0= 137, ch1= 642, ch2=1680, ch3= 126, ch4=   0, ch5= 142, ts=1714036481706050,	delta=836,
seq_no=51,	ch0= 263, ch1= 448, ch2=1748, ch3= 140, ch4=   0, ch5= 116, ts=1714036481706904,	delta=854,
seq_no=52,	ch0= 471, ch1= 260, ch2=1719, ch3= 173, ch4=   0, ch5= 100, ts=1714036481707738,	delta=834,
seq_no=53,	ch0= 687, ch1= 109, ch2=1652, ch3= 209, ch4=   0, ch5=  66, ts=1714036481708578,	delta=840,
seq_no=54,	ch0= 894, ch1=   0, ch2=1528, ch3= 210, ch4=   0, ch5=  37, ts=1714036481709421,	delta=843,
seq_no=55,	ch0= 993, ch1=   0, ch2=1376, ch3= 247, ch4=   1, ch5=  53, ts=1714036481710262,	delta=841,
seq_no=56,	ch0=1223, ch1=  44, ch2=1169, ch3= 180, ch4=  48, ch5=   4, ts=1714036481711107,	delta=845,
