seq_no=0,	ch0=   0, ch1=1008, ch2=1549, ch3= 141, ch4=  22, ch5= 388, ts=1714036333377353,	delta=1714036333377353,
seq_no=1,	ch0=  36, ch1= 800, ch2=1596, ch3= 218, ch4=   0, ch5= 362, ts=1714036333377533,	delta=180,
seq_no=2,	ch0= 162, ch1= 594, ch2=1696, ch3= 274, ch4=   0, ch5= 330, ts=1714036333377635,	delta=102,
seq_no=3,	ch0= 309, ch1= 389, ch2=1740, ch3= 320, ch4=   0, ch5= 279, ts=1714036333377726,	delta=91,
seq_no=4,	ch0= 515, ch1= 220, ch2=1720, ch3= 366, ch4=   0, ch5= 229, ts=1714036333377813,	delta=87,
seq_no=5,	ch0= 719, ch1=  74, ch2=1628, ch3= 409, ch4=   0, ch5= 152, ts=1714036333377900,	delta=87,
seq_no=6,	ch0= 553, ch1=1577, ch2= 224, ch3=   0, ch4= 210, ch5= 183, ts=1714036333377933,	delta=33,
seq_no=7,	ch0= 354, ch1=1607, ch2= 399, ch3=   0, ch4= 167, ch5= 224, ts=1714036333377962,	delta=29,
seq_no=8,	ch0= 180, ch1=1575, ch2= 637, ch3=   0, ch4= 137, ch5= 253, ts=1714036333377991,	delta=29,
seq_no=9,	ch0=  47, ch1=1500, ch2= 871, ch3=   9, ch4=  96, ch5= 282, ts=1714036333378021,	delta=30,
seq_no=10,	ch0=   0, ch1=1351, ch2=1093, ch3=  38, ch4=  64, ch5= 293, ts=1714036333378049,	delta=28,
seq_no=11,	ch0=   0, ch1=1168, ch2=1319, ch3= 109, ch4=  27, ch5= 284, ts=1714036333378078,	delta=29,
seq_no=12,	ch0=   0, ch1= 965, ch2=1505, ch3= 121, ch4=   2, ch5= 268, ts=1714036333378395,	delta=317,
seq_no=13,	ch0=  50, ch1= 747, ch2=1596, ch3= 179, ch4=   0, ch5= 289, ts=1714036333379230,	delta=835,
seq_no=14,	ch0= 188, ch1= 556, ch2=1708, ch3= 207, ch4=  39, ch5= 219, ts=1714036333380046,	delta=816,
seq_no=15,	ch0= 448, ch1= 338, ch2=1793, ch3= 266, ch4=   0, ch5= 185, ts=1714036333380879,	delta=833,
seq_no=16,	ch0= 521, ch1= 180, ch2=1682, ch3= 226, ch4=   0, ch5= 123, ts=1714036333385124,	delta=4245,
seq_no=17,	ch0= 752, ch1=  66, ch2=1671, ch3= 311, ch4=  37, ch5= 101, ts=1714036333385188,	delta=64,
seq_no=18,	ch0= 962, ch1=   0, ch2=1472, ch3= 322, ch4=  30, ch5=  59, ts=1714036333385218,	delta=30,
seq_no=19,	ch0=1156, ch1=   0, ch2=1265, ch3= 322, ch4=  66, ch5=  26, ts=1714036333385247,	delta=29,
seq_no=20,	ch0=1309, ch1=   0, ch2=1037, ch3= 307, ch4= 108, ch5=   0, ts=1714036333385277,	delta=30,
seq_no=21,	ch0=1441, ch1=  93, ch2= 807, ch3= 286, ch4= 151, ch5=   0, ts=1714036333385956,	delta=679,
seq_no=22,	ch0=1525, ch1= 217, ch2= 564, ch3= 260, ch4= 186, ch5=   0, ts=1714036333386808,	delta=852,
seq_no=23,	ch0=1573, ch1= 400, ch2= 344, ch3= 225, ch4= 226, ch5=   0, ts=1714036333387626,	delta=818,
seq_no=24,	ch0=1505, ch1= 589, ch2= 169, ch3= 162, ch4= 253, ch5=   0, ts=1714036333388457,	delta=831,
seq_no=25,	ch0=1425, ch1= 833, ch2=  47, ch3= 116, ch4= 253, ch5=   9, ts=1714036333389297,	delta=840,
