seq_no=34,	ch0=   0, ch1=2062, ch2=1587, ch3=  53, ch4=1425, ch5=1173, ts=1712137291093794,	delta=854,
seq_no=35,	ch0= 100, ch1=2268, ch2=1257, ch3=  10, ch4=1567, ch5= 898, ts=1712137291094627,	delta=833,
seq_no=36,	ch0= 306, ch1=2387, ch2= 905, ch3= 124, ch4=1660, ch5= 647, ts=1712137291095468,	delta=841,
seq_no=37,	ch0= 560, ch1=2416, ch2= 588, ch3= 330, ch4=1713, ch5= 453, ts=1712137291096309,	delta=841,
seq_no=38,	ch0= 853, ch1=2372, ch2= 298, ch3= 576, ch4=1705, ch5= 269, ts=1712137291097152,	delta=843,
seq_no=39,	ch0=1165, ch1=2245, ch2=  87, ch3= 836, ch4=1633, ch5= 128, ts=1712137291098003,	delta=851,
seq_no=40,	ch0=1475, ch1=2019, ch2=   5, ch3=1091, ch4=1487, ch5=   0, ts=1712137291098890,	delta=887,
seq_no=41,	ch0=1767, ch1=1775, ch2=   0, ch3=1314, ch4=1299, ch5=   0, ts=1712137291099692,	delta=802,
seq_no=42,	ch0=1977, ch1=1473, ch2=   2, ch3=1498, ch4=1088, ch5=   0, ts=1712137291100523,	delta=831,
seq_no=43,	ch0=2213, ch1=1159, ch2= 117, ch3=1648, ch4= 818, ch5=   0, ts=1712137291101443,	delta=920,
seq_no=44,	ch0=2239, ch1= 832, ch2= 388, ch3=1792, ch4= 576, ch5= 184, ts=1712137291102217,	delta=774,
seq_no=45,	ch0=2296, ch1= 621, ch2= 633, ch3=1858, ch4= 404, ch5= 335, ts=1712137291103056,	delta=839,
seq_no=46,	ch0=2251, ch1= 278, ch2= 990, ch3=1816, ch4= 213, ch5= 612, ts=1712137291103957,	delta=901,
seq_no=47,	ch0=2136, ch1=  82, ch2=1330, ch3=1804, ch4=  83, ch5= 854, ts=1712137291104743,	delta=786,
seq_no=48,	ch0=1933, ch1=  12, ch2=1679, ch3=1676, ch4=   0, ch5=1095, ts=1712137291105588,	delta=845,
seq_no=49,	ch0=1674, ch1=   0, ch2=2001, ch3=1472, ch4=   0, ch5=1315, ts=1712137291106419,	delta=831,
seq_no=50,	ch0=1387, ch1=   0, ch2=2272, ch3=1230, ch4=   0, ch5=1484, ts=1712137291107257,	delta=838,
seq_no=51,	ch0=1079, ch1= 138, ch2=2480, ch3= 960, ch4=  41, ch5=1627, ts=1712137291108101,	delta=844,
seq_no=52,	ch0= 737, ch1= 352, ch2=2582, ch3= 666, ch4= 192, ch5=1720, ts=1712137291110281,	delta=2180,
seq_no=53,	ch0= 469, ch1= 666, ch2=2588, ch3= 493, ch4= 395, ch5=1757, ts=1712137291110348,	delta=67,
seq_no=54,	ch0= 221, ch1= 927, ch2=2538, ch3= 288, ch4= 618, ch5=1763, ts=1712137291110714,	delta=366,
seq_no=55,	ch0=  89, ch1=1138, ch2=2387, ch3= 157, ch4= 940, ch5=1695, ts=1712137291111489,	delta=775,
seq_no=56,	ch0=   0, ch1=1610, ch2=2176, ch3=  11, ch4=1098, ch5=1556, ts=1712137291112318,	delta=829,
seq_no=57,	ch0=  11, ch1=1888, ch2=1866, ch3=   0, ch4=1358, ch5=1311, ts=1712137291113154,	delta=836,
