seq_no=0,	ch0=2292, ch1= 386, ch2= 949, ch3= 546, ch4= 469, ch5=   0, ts=1714036671429580,	delta=1714036671429580,
seq_no=1,	ch0=2318, ch1= 738, ch2= 530, ch3= 456, ch4= 491, ch5=   0, ts=1714036671430817,	delta=1237,
seq_no=2,	ch0=2280, ch1= 936, ch2= 275, ch3= 361, ch4= 553, ch5=   0, ts=1714036671431003,	delta=186,
seq_no=3,	ch0=2140, ch1=1260, ch2=  68, ch3= 261, ch4= 592, ch5=  41, ts=1714036671431103,	delta=100,
seq_no=4,	ch0=1928, ch1=1582, ch2=   0, ch3= 188, ch4= 614, ch5=  98, ts=1714036671431193,	delta=90,
seq_no=5,	ch0=1655, ch1=1864, ch2=   8, ch3= 114, ch4= 608, ch5= 179, ts=1714036671431276,	delta=83,
seq_no=6,	ch0=1390, ch1=2102, ch2=   0, ch3=  53, ch4= 594, ch5= 270, ts=1714036671431361,	delta=85,
seq_no=7,	ch0=1163, ch1=2273, ch2= 163, ch3=   5, ch4= 533, ch5= 358, ts=1714036671431395,	delta=34,
seq_no=8,	ch0= 724, ch1=2392, ch2= 414, ch3=   0, ch4= 469, ch5= 441, ts=1714036671431424,	delta=29,
seq_no=9,	ch0= 466, ch1=2406, ch2= 769, ch3=   0, ch4= 387, ch5= 507, ts=1714036671431453,	delta=29,
seq_no=10,	ch0=1996, ch1=1380, ch2=   4, ch3= 228, ch4= 757, ch5=  76, ts=1714036671431482,	delta=29,
seq_no=11,	ch0=1245, ch1=2191, ch2=  69, ch3=  52, ch4= 724, ch5= 388, ts=1714036671431511,	delta=29,
seq_no=12,	ch0= 934, ch1=2352, ch2= 257, ch3=   0, ch4= 657, ch5= 489, ts=1714036671431540,	delta=29,
seq_no=13,	ch0= 638, ch1=2418, ch2= 525, ch3=   0, ch4= 562, ch5= 591, ts=1714036671431569,	delta=29,
seq_no=14,	ch0= 371, ch1=2403, ch2= 848, ch3=   0, ch4= 450, ch5= 658, ts=1714036671431597,	delta=28,
seq_no=15,	ch0= 137, ch1=2291, ch2=1191, ch3=   9, ch4= 340, ch5= 716, ts=1714036671431626,	delta=29,
