seq_no=0,	ch0=2169, ch1=  73, ch2=1288, ch3= 804, ch4= 458, ch5=   0, ts=1714036687933007,	delta=1714036687933007,
seq_no=1,	ch0=2196, ch1= 313, ch2= 944, ch3= 755, ch4= 525, ch5=  17, ts=1714036687933192,	delta=185,
seq_no=2,	ch0=2321, ch1= 565, ch2= 611, ch3= 616, ch4= 596, ch5=   0, ts=1714036687933293,	delta=101,
seq_no=3,	ch0=2296, ch1= 871, ch2= 338, ch3= 501, ch4= 673, ch5=   0, ts=1714036687933382,	delta=89,
seq_no=4,	ch0=2157, ch1=1180, ch2= 109, ch3= 365, ch4= 725, ch5=  32, ts=1714036687934832,	delta=1450,
seq_no=5,	ch0=1969, ch1=1505, ch2=   0, ch3= 255, ch4= 757, ch5= 106, ts=1714036687935026,	delta=194,
seq_no=6,	ch0=1720, ch1=1806, ch2=   0, ch3= 159, ch4= 760, ch5= 202, ts=1714036687935123,	delta=97,
seq_no=7,	ch0=1447, ch1=2069, ch2=   0, ch3=  83, ch4= 743, ch5= 312, ts=1714036687935212,	delta=89,
seq_no=8,	ch0=1128, ch1=2247, ch2= 133, ch3=  25, ch4= 704, ch5= 418, ts=1714036687935245,	delta=33,
seq_no=9,	ch0= 814, ch1=2382, ch2= 378, ch3=   0, ch4= 621, ch5= 525, ts=1714036687935276,	delta=31,
seq_no=10,	ch0= 626, ch1=2416, ch2= 542, ch3=   0, ch4= 675, ch5= 728, ts=1714036687935305,	delta=29,
seq_no=11,	ch0= 356, ch1=2400, ch2= 918, ch3=   0, ch4= 562, ch5= 814, ts=1714036687935334,	delta=29,
seq_no=12,	ch0= 125, ch1=2366, ch2=1195, ch3=   9, ch4= 418, ch5= 847, ts=1714036687935363,	delta=29,
seq_no=13,	ch0=   0, ch1=2068, ch2=1544, ch3=  93, ch4= 247, ch5= 913, ts=1714036687935392,	delta=29,
seq_no=14,	ch0=   0, ch1=1848, ch2=1871, ch3= 228, ch4= 184, ch5= 939, ts=1714036687935420,	delta=28,
seq_no=15,	ch0=   0, ch1=1533, ch2=2246, ch3= 342, ch4=  98, ch5= 927, ts=1714036687935449,	delta=29,
seq_no=16,	ch0= 112, ch1=1251, ch2=2379, ch3= 501, ch4=   9, ch5= 788, ts=1714036687935477,	delta=28,
seq_no=17,	ch0= 246, ch1= 868, ch2=2563, ch3= 661, ch4=  21, ch5= 799, ts=1714036687935506,	delta=29,
seq_no=18,	ch0= 482, ch1= 621, ch2=2600, ch3= 765, ch4=   0, ch5= 688, ts=1714036687936084,	delta=578,
seq_no=19,	ch0= 772, ch1= 348, ch2=2578, ch3= 862, ch4=   0, ch5= 555, ts=1714036687938791,	delta=2707,
seq_no=20,	ch0=1075, ch1= 122, ch2=2468, ch3= 930, ch4=  25, ch5= 408, ts=1714036687938868,	delta=77,
seq_no=21,	ch0=1376, ch1=   0, ch2=2259, ch3= 992, ch4= 132, ch5= 284, ts=1714036687938900,	delta=32,
