seq_no=0,	ch0=2244, ch1=1012, ch2= 214, ch3= 520, ch4= 764, ch5=   2, ts=1714036743190046,	delta=1714036743190046,
seq_no=1,	ch0=2060, ch1=1376, ch2=   5, ch3= 386, ch4= 916, ch5=  84, ts=1714036743190774,	delta=728,
seq_no=2,	ch0=1830, ch1=1688, ch2=   0, ch3= 261, ch4= 936, ch5= 201, ts=1714036743190919,	delta=145,
seq_no=3,	ch0=1559, ch1=1959, ch2=   6, ch3= 148, ch4= 912, ch5= 329, ts=1714036743193832,	delta=2913,
seq_no=4,	ch0=1258, ch1=2202, ch2=  74, ch3=  71, ch4= 881, ch5= 467, ts=1714036743194039,	delta=207,
seq_no=5,	ch0= 939, ch1=2348, ch2= 253, ch3=   0, ch4= 802, ch5= 590, ts=1714036743194142,	delta=103,
seq_no=6,	ch0= 637, ch1=2428, ch2= 514, ch3=   0, ch4= 695, ch5= 709, ts=1714036743194231,	delta=89,
seq_no=7,	ch0= 370, ch1=2392, ch2= 819, ch3=   0, ch4= 548, ch5= 839, ts=1714036743194317,	delta=86,
seq_no=8,	ch0= 157, ch1=2245, ch2=1180, ch3=   0, ch4= 460, ch5= 859, ts=1714036743194402,	delta=85,
seq_no=9,	ch0=   9, ch1=2118, ch2=1539, ch3=  77, ch4= 285, ch5= 917, ts=1714036743194436,	delta=34,
seq_no=10,	ch0=   0, ch1=1895, ch2=1880, ch3= 177, ch4= 187, ch5= 960, ts=1714036743194466,	delta=30,
seq_no=11,	ch0=2203, ch1=1006, ch2= 224, ch3= 711, ch4= 978, ch5=   8, ts=1714036743194495,	delta=29,
seq_no=12,	ch0=2069, ch1=1347, ch2=  33, ch3= 461, ch4=1047, ch5=  91, ts=1714036743194524,	delta=29,
seq_no=13,	ch0=1859, ch1=1642, ch2=   0, ch3= 342, ch4=1088, ch5= 277, ts=1714036743194553,	delta=29,
seq_no=14,	ch0=1595, ch1=1820, ch2=   0, ch3= 198, ch4=1158, ch5= 381, ts=1714036743194686,	delta=133,
seq_no=15,	ch0= 970, ch1=2368, ch2= 245, ch3=   0, ch4= 944, ch5= 774, ts=1714036743194717,	delta=31,
seq_no=16,	ch0= 678, ch1=2415, ch2= 483, ch3=   0, ch4= 832, ch5= 872, ts=1714036743194746,	delta=29,
seq_no=17,	ch0= 406, ch1=2392, ch2= 804, ch3=   0, ch4= 675, ch5=1013, ts=1714036743194845,	delta=99,
seq_no=18,	ch0= 182, ch1=2305, ch2=1127, ch3=   0, ch4= 516, ch5=1088, ts=1714036743194881,	delta=36,
seq_no=19,	ch0=   8, ch1=2139, ch2=1484, ch3=  79, ch4= 374, ch5=1162, ts=1714036743194910,	delta=29,
seq_no=20,	ch0=   0, ch1=1911, ch2=1820, ch3= 216, ch4= 232, ch5=1183, ts=1714036743194938,	delta=28,
seq_no=21,	ch0=   0, ch1=1623, ch2=2103, ch3= 396, ch4= 130, ch5=1162, ts=1714036743195797,	delta=859,
seq_no=22,	ch0=  29, ch1=1312, ch2=2371, ch3= 564, ch4=  38, ch5=1145, ts=1714036743196651,	delta=854,
