seq_no=0,	ch0=1324, ch1=  20, ch2=2307, ch3=1184, ch4= 116, ch5= 413, ts=1714036808733745,	delta=1714036808733745,
seq_no=1,	ch0=1619, ch1=   8, ch2=2059, ch3=1220, ch4= 241, ch5= 270, ts=1714036808733975,	delta=230,
seq_no=2,	ch0=1887, ch1=   8, ch2=1747, ch3=1231, ch4= 388, ch5= 154, ts=1714036808734077,	delta=102,
seq_no=3,	ch0=2096, ch1=  56, ch2=1411, ch3=1183, ch4= 557, ch5=  64, ts=1714036808734168,	delta=91,
seq_no=4,	ch0=2253, ch1= 238, ch2=1043, ch3=1103, ch4= 708, ch5=   0, ts=1714036808734254,	delta=86,
seq_no=5,	ch0=2323, ch1= 490, ch2= 716, ch3= 950, ch4= 818, ch5=  10, ts=1714036808734340,	delta=86,
seq_no=6,	ch0=2317, ch1= 793, ch2= 408, ch3= 790, ch4= 994, ch5=   0, ts=1714036808734373,	delta=33,
seq_no=7,	ch0=2255, ch1=1088, ch2= 177, ch3= 609, ch4= 985, ch5=  11, ts=1714036808734403,	delta=30,
seq_no=8,	ch0=2009, ch1=1405, ch2=   2, ch3= 419, ch4=1059, ch5= 117, ts=1714036808734432,	delta=29,
seq_no=9,	ch0=1798, ch1=1728, ch2=   0, ch3= 290, ch4=1073, ch5= 362, ts=1714036808734460,	delta=28,
seq_no=10,	ch0=1540, ch1=2047, ch2=   0, ch3= 197, ch4=1075, ch5= 418, ts=1714036808734489,	delta=29,
seq_no=11,	ch0=1300, ch1=2204, ch2= 130, ch3=  98, ch4= 993, ch5= 597, ts=1714036808734518,	delta=29,
seq_no=12,	ch0=2199, ch1= 185, ch2=1144, ch3=1292, ch4= 757, ch5=  20, ts=1714036808734546,	delta=28,
seq_no=13,	ch0=1882, ch1=1624, ch2=   0, ch3= 397, ch4=1242, ch5= 258, ts=1714036808734679,	delta=133,
seq_no=14,	ch0=1611, ch1=1910, ch2=   0, ch3= 250, ch4=1244, ch5= 455, ts=1714036808734713,	delta=34,
seq_no=15,	ch0=1323, ch1=2147, ch2=  28, ch3= 138, ch4=1192, ch5= 658, ts=1714036808734743,	delta=30,
seq_no=16,	ch0= 999, ch1=2328, ch2= 216, ch3=  37, ch4=1103, ch5= 832, ts=1714036808734772,	delta=29,
seq_no=17,	ch0= 707, ch1=2404, ch2= 477, ch3=   0, ch4= 961, ch5=1008, ts=1714036808734801,	delta=29,
