seq_no=0,	ch0=   0, ch1=1858, ch2=1874, ch3= 288, ch4= 250, ch5=1369, ts=1714036832337822,	delta=1714036832337822,
seq_no=1,	ch0=   0, ch1=1567, ch2=2168, ch3= 489, ch4= 135, ch5=1345, ts=1714036832338012,	delta=190,
seq_no=2,	ch0=  52, ch1=1258, ch2=2407, ch3= 693, ch4=  47, ch5=1286, ts=1714036832338111,	delta=99,
seq_no=3,	ch0= 250, ch1= 987, ch2=2544, ch3= 886, ch4=   0, ch5=1136, ts=1714036832338203,	delta=92,
seq_no=4,	ch0= 486, ch1= 618, ch2=2608, ch3=1035, ch4=   0, ch5= 998, ts=1714036832338289,	delta=86,
seq_no=5,	ch0= 742, ch1= 352, ch2=2584, ch3=1204, ch4=   0, ch5= 799, ts=1714036832338322,	delta=33,
seq_no=6,	ch0=1068, ch1= 130, ch2=2498, ch3=1278, ch4=  22, ch5= 600, ts=1714036832338407,	delta=85,
seq_no=7,	ch0=1419, ch1=   0, ch2=2223, ch3=1361, ch4= 178, ch5= 325, ts=1714036832338439,	delta=32,
seq_no=8,	ch0=1659, ch1=   0, ch2=1966, ch3=1407, ch4= 350, ch5= 270, ts=1714036832338469,	delta=30,
seq_no=9,	ch0=1848, ch1=   0, ch2=1670, ch3=1438, ch4= 468, ch5= 218, ts=1714036832338498,	delta=29,
seq_no=10,	ch0=2142, ch1=  86, ch2=1320, ch3=1350, ch4= 656, ch5=  46, ts=1714036832338527,	delta=29,
seq_no=11,	ch0=2276, ch1= 286, ch2= 985, ch3=1230, ch4= 826, ch5=   0, ts=1714036832338718,	delta=191,
seq_no=12,	ch0=1464, ch1=2104, ch2=   0, ch3= 201, ch4=1376, ch5= 576, ts=1714036832338769,	delta=51,
seq_no=13,	ch0= 794, ch1=2400, ch2= 390, ch3=   0, ch4=1135, ch5=1055, ts=1714036832338800,	delta=31,
seq_no=14,	ch0= 517, ch1=2416, ch2= 682, ch3=   0, ch4= 944, ch5=1218, ts=1714036832338830,	delta=30,
seq_no=15,	ch0= 245, ch1=2366, ch2=1024, ch3=   0, ch4= 734, ch5=1344, ts=1714036832338859,	delta=29,
seq_no=16,	ch0=  54, ch1=2212, ch2=1367, ch3=  50, ch4= 537, ch5=1440, ts=1714036832338888,	delta=29,
seq_no=17,	ch0=   0, ch1=1987, ch2=1704, ch3= 210, ch4= 376, ch5=1505, ts=1714036832338917,	delta=29,
seq_no=18,	ch0=   0, ch1=1720, ch2=2016, ch3= 412, ch4= 228, ch5=1515, ts=1714036832339326,	delta=409,
seq_no=19,	ch0=   0, ch1=1425, ch2=2257, ch3= 668, ch4= 121, ch5=1449, ts=1714036832340222,	delta=896,
seq_no=20,	ch0= 126, ch1=1102, ch2=2504, ch3= 881, ch4=  20, ch5=1388, ts=1714036832341032,	delta=810,
seq_no=21,	ch0= 285, ch1= 793, ch2=2613, ch3=1092, ch4=   0, ch5=1261, ts=1714036832341816,	delta=784,
seq_no=22,	ch0= 614, ch1= 498, ch2=2636, ch3=1224, ch4=  10, ch5=1033, ts=1714036832343176,	delta=1360,
seq_no=23,	ch0= 903, ch1= 361, ch2=2520, ch3=1383, ch4=   0, ch5= 730, ts=1714036832343530,	delta=354,
seq_no=24,	ch0=1217, ch1=  54, ch2=2391, ch3=1496, ch4=  86, ch5= 584, ts=1714036832344430,	delta=900,
seq_no=25,	ch0=1520, ch1=   0, ch2=2140, ch3=1565, ch4= 249, ch5= 403, ts=1714036832345267,	delta=837,
seq_no=26,	ch0=1793, ch1=   1, ch2=1844, ch3=1584, ch4= 434, ch5= 252, ts=1714036832346140,	delta=873,
seq_no=27,	ch0=2031, ch1=  13, ch2=1507, ch3=1565, ch4= 648, ch5= 125, ts=1714036832346973,	delta=833,
seq_no=28,	ch0=2212, ch1= 173, ch2=1161, ch3=1476, ch4= 839, ch5=  17, ts=1714036832347859,	delta=886,
seq_no=29,	ch0=2299, ch1= 400, ch2= 821, ch3=1289, ch4=1005, ch5=   4, ts=1714036832348679,	delta=820,
seq_no=30,	ch0=2328, ch1= 669, ch2= 542, ch3=1088, ch4=1150, ch5=  64, ts=1714036832349526,	delta=847,
seq_no=31,	ch0=2261, ch1=1037, ch2= 236, ch3= 858, ch4=1252, ch5=   0, ts=1714036832350347,	delta=821,
seq_no=32,	ch0=2168, ch1=1295, ch2=  39, ch3= 648, ch4=1332, ch5=  96, ts=1714036832351144,	delta=797,
seq_no=33,	ch0=1871, ch1=1600, ch2=   0, ch3= 423, ch4=1385, ch5= 291, ts=1714036832352008,	delta=864,
seq_no=34,	ch0=1623, ch1=1880, ch2=   0, ch3= 290, ch4=1388, ch5= 578, ts=1714036832352858,	delta=850,
seq_no=35,	ch0=1357, ch1=2037, ch2=  39, ch3= 170, ch4=1439, ch5= 697, ts=1714036832353688,	delta=830,
seq_no=36,	ch0=1011, ch1=2335, ch2= 204, ch3=  52, ch4=1260, ch5= 911, ts=1714036832354541,	delta=853,
seq_no=37,	ch0= 715, ch1=2406, ch2= 452, ch3=   0, ch4=1091, ch5=1099, ts=1714036832355330,	delta=789,
seq_no=38,	ch0= 435, ch1=2412, ch2= 766, ch3=   0, ch4= 898, ch5=1248, ts=1714036832356358,	delta=1028,
seq_no=39,	ch0= 207, ch1=2337, ch2=1116, ch3=   0, ch4= 685, ch5=1379, ts=1714036832357012,	delta=654,
seq_no=40,	ch0=  17, ch1=2179, ch2=1459, ch3=  82, ch4= 508, ch5=1457, ts=1714036832357894,	delta=882,
seq_no=41,	ch0=   0, ch1=1942, ch2=1791, ch3= 265, ch4= 332, ch5=1498, ts=1714036832359590,	delta=1696,
seq_no=42,	ch0=   0, ch1=1664, ch2=2078, ch3= 476, ch4= 204, ch5=1502, ts=1714036832359651,	delta=61,
seq_no=43,	ch0=  25, ch1=1344, ch2=2352, ch3= 715, ch4=  86, ch5=1460, ts=1714036832360443,	delta=792,
seq_no=44,	ch0= 174, ch1=1027, ch2=2525, ch3= 933, ch4=   0, ch5=1354, ts=1714036832361202,	delta=759,
seq_no=45,	ch0= 403, ch1= 712, ch2=2634, ch3=1118, ch4=  22, ch5=1195, ts=1714036832362031,	delta=829,
seq_no=46,	ch0= 708, ch1= 488, ch2=2562, ch3=1278, ch4=   0, ch5= 889, ts=1714036832362891,	delta=860,
seq_no=47,	ch0=1003, ch1= 158, ch2=2508, ch3=1398, ch4=   0, ch5= 718, ts=1714036832363706,	delta=815,
seq_no=48,	ch0=1297, ch1=  21, ch2=2335, ch3=1516, ch4= 130, ch5= 532, ts=1714036832364548,	delta=842,
seq_no=49,	ch0=1587, ch1=   0, ch2=2075, ch3=1574, ch4= 293, ch5= 368, ts=1714036832365388,	delta=840,
seq_no=50,	ch0=1860, ch1=   0, ch2=1764, ch3=1596, ch4= 498, ch5= 224, ts=1714036832366231,	delta=843,
seq_no=51,	ch0=2091, ch1=  50, ch2=1432, ch3=1542, ch4= 698, ch5= 106, ts=1714036832367086,	delta=855,
seq_no=52,	ch0=2247, ch1= 229, ch2=1077, ch3=1437, ch4= 883, ch5=   0, ts=1714036832367916,	delta=830,
seq_no=53,	ch0=2326, ch1= 470, ch2= 693, ch3=1257, ch4=1035, ch5=  82, ts=1714036832368758,	delta=842,
seq_no=54,	ch0=2320, ch1= 791, ch2= 429, ch3=1043, ch4=1177, ch5=   0, ts=1714036832369602,	delta=844,
seq_no=55,	ch0=2295, ch1=1050, ch2= 187, ch3= 800, ch4=1260, ch5=  13, ts=1714036832370440,	delta=838,
seq_no=56,	ch0=2033, ch1=1385, ch2=   5, ch3= 576, ch4=1363, ch5= 134, ts=1714036832371297,	delta=857,
seq_no=57,	ch0=1809, ch1=1671, ch2=   0, ch3= 418, ch4=1394, ch5= 406, ts=1714036832372188,	delta=891,
seq_no=58,	ch0=1530, ch1=1871, ch2=   0, ch3= 262, ch4=1470, ch5= 547, ts=1714036832372978,	delta=790,
seq_no=59,	ch0=1131, ch1=2177, ch2=  68, ch3= 199, ch4=1308, ch5= 781, ts=1714036832373816,	delta=838,
seq_no=60,	ch0= 924, ch1=2366, ch2= 272, ch3=  26, ch4=1216, ch5= 960, ts=1714036832374663,	delta=847,
