seq_no=0,	ch0=1358, ch1=   0, ch2=2278, ch3=1525, ch4= 168, ch5= 493, ts=1714036872084044,	delta=1714036872084044,
seq_no=1,	ch0=1659, ch1=   0, ch2=2006, ch3=1585, ch4= 347, ch5= 337, ts=1714036872084231,	delta=187,
seq_no=2,	ch0=1912, ch1=   0, ch2=1674, ch3=1586, ch4= 546, ch5= 192, ts=1714036872084331,	delta=100,
seq_no=3,	ch0=2142, ch1=  98, ch2=1344, ch3=1526, ch4= 744, ch5=  78, ts=1714036872084419,	delta=88,
seq_no=4,	ch0=2279, ch1= 260, ch2= 981, ch3=1399, ch4= 922, ch5=   0, ts=1714036872084505,	delta=86,
seq_no=5,	ch0=2325, ch1= 536, ch2= 675, ch3=1216, ch4=1076, ch5=  12, ts=1714036872084537,	delta=32,
seq_no=6,	ch0=2284, ch1= 832, ch2= 463, ch3= 975, ch4=1205, ch5=   0, ts=1714036872084567,	delta=30,
seq_no=7,	ch0=2190, ch1=1116, ch2=  85, ch3= 758, ch4=1318, ch5=  93, ts=1714036872084596,	delta=29,
seq_no=8,	ch0=1978, ch1=1368, ch2=   0, ch3= 540, ch4=1442, ch5= 174, ts=1714036872084624,	delta=28,
seq_no=9,	ch0=1779, ch1=1750, ch2=   4, ch3= 434, ch4=1395, ch5= 383, ts=1714036872084653,	delta=29,
seq_no=10,	ch0=1479, ch1=2030, ch2=   6, ch3= 239, ch4=1390, ch5= 594, ts=1714036872084682,	delta=29,
seq_no=11,	ch0=1186, ch1=2240, ch2=  94, ch3= 114, ch4=1312, ch5= 818, ts=1714036872084710,	delta=28,
seq_no=12,	ch0=   0, ch1=2086, ch2=1578, ch3= 166, ch4= 495, ch5=1582, ts=1714036872084739,	delta=29,
seq_no=13,	ch0=   0, ch1=1543, ch2=2193, ch3= 647, ch4= 176, ch5=1600, ts=1714036872084768,	delta=29,
seq_no=14,	ch0=  64, ch1=1222, ch2=2395, ch3= 898, ch4=  68, ch5=1571, ts=1714036872084796,	delta=28,
seq_no=15,	ch0= 255, ch1= 861, ch2=2568, ch3=1120, ch4=  39, ch5=1359, ts=1714036872084887,	delta=91,
seq_no=16,	ch0= 470, ch1= 598, ch2=2599, ch3=1350, ch4=   0, ch5=1170, ts=1714036872084920,	delta=33,
seq_no=17,	ch0= 794, ch1= 393, ch2=2579, ch3=1452, ch4=   0, ch5= 932, ts=1714036872084950,	delta=30,
seq_no=18,	ch0=1133, ch1= 134, ch2=2419, ch3=1600, ch4=  77, ch5= 737, ts=1714036872085854,	delta=904,
seq_no=19,	ch0=1442, ch1=   0, ch2=2221, ch3=1736, ch4= 265, ch5= 483, ts=1714036872086847,	delta=993,
seq_no=20,	ch0=1693, ch1=   0, ch2=1949, ch3=1761, ch4= 406, ch5= 334, ts=1714036872089274,	delta=2427,
seq_no=21,	ch0=1955, ch1=   6, ch2=1634, ch3=1776, ch4= 644, ch5= 183, ts=1714036872089348,	delta=74,
