seq_no=0,	ch0=   0, ch1=1419, ch2= 998, ch3=  48, ch4=   6, ch5=  78, ts=1714036576071640,	delta=1714036576071640,
seq_no=1,	ch0=   0, ch1=1257, ch2=1216, ch3=  23, ch4=   0, ch5=  78, ts=1714036576071900,	delta=260,
seq_no=2,	ch0=   0, ch1=1076, ch2=1311, ch3=  43, ch4=   0, ch5= 181, ts=1714036576072009,	delta=109,
seq_no=3,	ch0=   0, ch1= 969, ch2=1547, ch3=  64, ch4=   0, ch5=   2, ts=1714036576072198,	delta=189,
seq_no=4,	ch0=  90, ch1= 541, ch2=1661, ch3=  73, ch4=  50, ch5=  38, ts=1714036576072549,	delta=351,
seq_no=5,	ch0= 269, ch1= 436, ch2=1741, ch3=  93, ch4=   0, ch5=  53, ts=1714036576072681,	delta=132,
seq_no=6,	ch0= 468, ch1= 245, ch2=1720, ch3= 100, ch4=   0, ch5=  50, ts=1714036576072717,	delta=36,
seq_no=7,	ch0= 673, ch1= 101, ch2=1640, ch3= 102, ch4=   0, ch5=  25, ts=1714036576072746,	delta=29,
seq_no=8,	ch0=1888, ch1=1624, ch2=   0, ch3=  24, ch4= 128, ch5=  10, ts=1714036576072775,	delta=29,
seq_no=9,	ch0=  11, ch1=1336, ch2=2343, ch3=  85, ch4=   0, ch5= 125, ts=1714036576072803,	delta=28,
seq_no=10,	ch0= 172, ch1=1004, ch2=2526, ch3=  96, ch4=   0, ch5= 113, ts=1714036576072832,	delta=29,
seq_no=11,	ch0= 409, ch1= 693, ch2=2592, ch3= 128, ch4=   0, ch5=  96, ts=1714036576072861,	delta=29,
seq_no=12,	ch0= 676, ch1= 421, ch2=2577, ch3= 138, ch4=   0, ch5=  76, ts=1714036576072890,	delta=29,
seq_no=13,	ch0= 980, ch1= 216, ch2=2504, ch3= 150, ch4=  64, ch5=  49, ts=1714036576072918,	delta=28,
seq_no=14,	ch0=1381, ch1=  20, ch2=2334, ch3= 149, ch4=   0, ch5=  33, ts=1714036576073531,	delta=613,
seq_no=15,	ch0=1562, ch1=   0, ch2=2075, ch3= 175, ch4=   5, ch5=  25, ts=1714036576074399,	delta=868,
seq_no=16,	ch0=1856, ch1=  23, ch2=1772, ch3= 126, ch4=  21, ch5=  11, ts=1714036576075222,	delta=823,
seq_no=17,	ch0=2071, ch1=  43, ch2=1357, ch3= 138, ch4=  35, ch5=  57, ts=1714036576076097,	delta=875,
seq_no=18,	ch0=2271, ch1= 314, ch2=1061, ch3= 169, ch4=  89, ch5=   0, ts=1714036576076848,	delta=751,
seq_no=19,	ch0=2321, ch1= 451, ch2= 739, ch3= 113, ch4=  43, ch5=   0, ts=1714036576077673,	delta=825,
seq_no=20,	ch0=2298, ch1= 744, ch2= 434, ch3=  96, ch4= 106, ch5=   0, ts=1714036576078507,	delta=834,
seq_no=21,	ch0=2224, ch1=1057, ch2= 172, ch3=  74, ch4= 116, ch5=   0, ts=1714036576079358,	delta=851,
seq_no=22,	ch0=2055, ch1=1388, ch2=   1, ch3=  38, ch4= 123, ch5=   0, ts=1714036576080421,	delta=1063,
seq_no=23,	ch0=1822, ch1=1683, ch2=   0, ch3=  24, ch4= 128, ch5=  21, ts=1714036576081102,	delta=681,
seq_no=24,	ch0=1548, ch1=1970, ch2=   2, ch3=   1, ch4= 121, ch5=  41, ts=1714036576082245,	delta=1143,
seq_no=25,	ch0=1219, ch1=2188, ch2=  52, ch3=   0, ch4= 107, ch5=  70, ts=1714036576082856,	delta=611,
seq_no=26,	ch0= 924, ch1=2368, ch2= 265, ch3=   0, ch4=  93, ch5=  89, ts=1714036576083593,	delta=737,
seq_no=27,	ch0= 626, ch1=2424, ch2= 513, ch3=   0, ch4=  84, ch5= 113, ts=1714036576084408,	delta=815,
seq_no=28,	ch0= 375, ch1=2442, ch2= 836, ch3=   6, ch4=  64, ch5=  77, ts=1714036576085241,	delta=833,
seq_no=29,	ch0= 145, ch1=2255, ch2=1195, ch3=   0, ch4=   0, ch5= 106, ts=1714036576086082,	delta=841,
seq_no=30,	ch0=   0, ch1=2099, ch2=1539, ch3=  89, ch4=  10, ch5= 130, ts=1714036576086935,	delta=853,
seq_no=31,	ch0=   0, ch1=1863, ch2=1871, ch3=  13, ch4=   8, ch5= 129, ts=1714036576087761,	delta=826,
seq_no=32,	ch0=   0, ch1=1586, ch2=2163, ch3=  64, ch4=   0, ch5= 125, ts=1714036576088602,	delta=841,
seq_no=33,	ch0=  45, ch1=1268, ch2=2403, ch3=  88, ch4=   0, ch5= 111, ts=1714036576089442,	delta=840,
seq_no=34,	ch0= 224, ch1= 934, ch2=2559, ch3= 118, ch4=   0, ch5= 114, ts=1714036576090288,	delta=846,
