seq_no=0,	ch0=2452, ch1=  82, ch2=1649, ch3= 342, ch4=   0, ch5= 576, ts=1713174384659658,	delta=1713174384659658,
seq_no=1,	ch0=2338, ch1=  26, ch2=2089, ch3= 261, ch4=  64, ch5= 608, ts=1713174384659886,	delta=228,
seq_no=2,	ch0=2199, ch1=  10, ch2=2520, ch3= 170, ch4= 145, ch5= 612, ts=1713174384659986,	delta=100,
seq_no=3,	ch0=1856, ch1=  10, ch2=2668, ch3=  92, ch4= 238, ch5= 599, ts=1713174384660075,	delta=89,
seq_no=4,	ch0=1454, ch1= 100, ch2=2702, ch3=  49, ch4= 333, ch5= 576, ts=1713174384660160,	delta=85,
seq_no=5,	ch0=1037, ch1= 377, ch2=2715, ch3=  13, ch4= 415, ch5= 514, ts=1713174384660192,	delta=32,
seq_no=6,	ch0= 655, ch1= 714, ch2=2742, ch3=  15, ch4= 473, ch5= 445, ts=1713174384660221,	delta=29,
seq_no=7,	ch0= 320, ch1=1120, ch2=2732, ch3=  14, ch4= 534, ch5= 347, ts=1713174384660304,	delta=83,
seq_no=8,	ch0=  54, ch1=1533, ch2=2695, ch3=  42, ch4= 560, ch5= 211, ts=1713174384660336,	delta=32,
seq_no=9,	ch0=   0, ch1=2028, ch2=2662, ch3=  98, ch4= 591, ch5= 153, ts=1713174384660366,	delta=30,
seq_no=10,	ch0=2456, ch1=1267, ch2= 323, ch3= 658, ch4=   0, ch5= 422, ts=1713174384660395,	delta=29,
seq_no=11,	ch0=2412, ch1=  21, ch2=2021, ch3= 260, ch4=  81, ch5= 687, ts=1713174384660424,	delta=29,
seq_no=12,	ch0=2278, ch1=   9, ch2=2460, ch3= 171, ch4= 166, ch5= 683, ts=1713174384660452,	delta=28,
seq_no=13,	ch0=1908, ch1=   4, ch2=2653, ch3= 102, ch4= 265, ch5= 663, ts=1713174384660481,	delta=29,
seq_no=14,	ch0=1491, ch1=  78, ch2=2700, ch3=  55, ch4= 371, ch5= 638, ts=1713174384660510,	delta=29,
seq_no=15,	ch0=1078, ch1= 337, ch2=2732, ch3=  16, ch4= 443, ch5= 587, ts=1713174384660539,	delta=29,
seq_no=16,	ch0= 697, ch1= 677, ch2=2724, ch3=  13, ch4= 523, ch5= 501, ts=1713174384665530,	delta=4991,
seq_no=17,	ch0= 353, ch1=1065, ch2=2720, ch3=  11, ch4= 576, ch5= 395, ts=1713174384665602,	delta=72,
seq_no=18,	ch0=  77, ch1=1504, ch2=2712, ch3=  45, ch4= 634, ch5= 300, ts=1713174384665633,	delta=31,
seq_no=19,	ch0=   0, ch1=1923, ch2=2667, ch3=  99, ch4= 654, ch5= 201, ts=1713174384665662,	delta=29,
seq_no=20,	ch0=   0, ch1=2401, ch2=2527, ch3= 199, ch4= 668, ch5= 100, ts=1713174384665691,	delta=29,
seq_no=21,	ch0=   0, ch1=2432, ch2=2104, ch3= 276, ch4= 693, ch5=  44, ts=1713174384665719,	delta=28,
seq_no=22,	ch0=  96, ch1=2515, ch2=1657, ch3= 411, ch4= 668, ch5=   0, ts=1713174384666312,	delta=593,
seq_no=23,	ch0= 343, ch1=2549, ch2=1192, ch3= 496, ch4= 552, ch5=   5, ts=1713174384667151,	delta=839,
seq_no=24,	ch0= 684, ch1=2556, ch2= 753, ch3= 577, ch4= 466, ch5=   0, ts=1713174384668019,	delta=868,
seq_no=25,	ch0=1083, ch1=2551, ch2= 375, ch3= 648, ch4= 389, ch5=   0, ts=1713174384668850,	delta=831,
seq_no=26,	ch0=1475, ch1=2534, ch2=  85, ch3= 697, ch4= 272, ch5=  29, ts=1713174384669702,	delta=852,
seq_no=27,	ch0=1881, ch1=2493, ch2=  21, ch3= 726, ch4= 183, ch5=  96, ts=1713174384670536,	delta=834,
seq_no=28,	ch0=2252, ch1=2331, ch2=  64, ch3= 742, ch4= 116, ch5= 181, ts=1713174384671385,	delta=849,
