seq_no=0,	ch0=1760, ch1=   5, ch2=2671, ch3= 100, ch4= 302, ch5= 706, ts=1713173572341976,	delta=1713173572341976,
seq_no=1,	ch0=1350, ch1= 221, ch2=2711, ch3=  64, ch4= 397, ch5= 603, ts=1713173572342846,	delta=870,
seq_no=2,	ch0= 946, ch1= 408, ch2=2728, ch3=  16, ch4= 547, ch5= 543, ts=1713173572343015,	delta=169,
seq_no=3,	ch0= 562, ch1= 784, ch2=2734, ch3=  18, ch4= 577, ch5= 462, ts=1713173572343115,	delta=100,
seq_no=4,	ch0=1264, ch1=2566, ch2= 188, ch3= 102, ch4=  64, ch5=  68, ts=1713173572343206,	delta=91,
seq_no=5,	ch0=1685, ch1=2511, ch2=   0, ch3= 102, ch4=  13, ch5=   0, ts=1713173572343292,	delta=86,
seq_no=6,	ch0=2047, ch1=2464, ch2=  18, ch3=  96, ch4=  16, ch5=  19, ts=1713173572343326,	delta=34,
seq_no=7,	ch0=2363, ch1=2177, ch2=  10, ch3=  96, ch4=  11, ch5=  25, ts=1713173572343355,	delta=29,
seq_no=8,	ch0=2423, ch1=1763, ch2=   2, ch3=  98, ch4=   0, ch5=  39, ts=1713173572343437,	delta=82,
seq_no=9,	ch0=2451, ch1=1318, ch2= 240, ch3=  93, ch4=   2, ch5=  65, ts=1713173572343470,	delta=33,
seq_no=10,	ch0=2460, ch1= 900, ch2= 569, ch3=  89, ch4=   1, ch5=  64, ts=1713173572343499,	delta=29,
seq_no=11,	ch0=2463, ch1= 517, ch2= 992, ch3=  79, ch4=   9, ch5=  66, ts=1713173572347820,	delta=4321,
seq_no=12,	ch0=2446, ch1= 192, ch2=1435, ch3=  76, ch4=  13, ch5=  70, ts=1713173572347890,	delta=70,
seq_no=13,	ch0=2419, ch1=   0, ch2=1893, ch3=  66, ch4=  29, ch5=  79, ts=1713173572347922,	delta=32,
seq_no=14,	ch0=2342, ch1=   9, ch2=2332, ch3=  70, ch4=  18, ch5=  77, ts=1713173572347951,	delta=29,
seq_no=15,	ch0=1988, ch1=   0, ch2=2608, ch3=   2, ch4=  20, ch5=  58, ts=1713173572347980,	delta=29,
seq_no=16,	ch0=1578, ch1=  34, ch2=2703, ch3=  38, ch4=  36, ch5=  97, ts=1713173572348606,	delta=626,
seq_no=17,	ch0=1185, ch1= 233, ch2=2753, ch3=  49, ch4=  50, ch5=  54, ts=1713173572349469,	delta=863,
seq_no=18,	ch0= 800, ch1= 556, ch2=2730, ch3=  49, ch4=  64, ch5=  57, ts=1713173572350317,	delta=848,
seq_no=19,	ch0= 448, ch1= 949, ch2=2710, ch3=  56, ch4=  73, ch5=  41, ts=1713173572351144,	delta=827,
seq_no=20,	ch0= 145, ch1=1373, ch2=2711, ch3=  67, ch4=  71, ch5=  41, ts=1713173572351991,	delta=847,
seq_no=21,	ch0=   0, ch1=1787, ch2=2684, ch3=  64, ch4=  73, ch5=  27, ts=1713173572352964,	delta=973,
