seq_no=0,	ch0= 215, ch1=1268, ch2=2695, ch3= 692, ch4=   0, ch5= 913, ts=1714037800333211,	delta=1714037800333211,
seq_no=1,	ch0= 515, ch1= 838, ch2=2732, ch3= 827, ch4=   0, ch5= 806, ts=1714037800334838,	delta=1627,
seq_no=2,	ch0= 906, ch1= 488, ch2=2727, ch3= 944, ch4=   4, ch5= 653, ts=1714037800335032,	delta=194,
seq_no=3,	ch0=1312, ch1= 169, ch2=2712, ch3=1032, ch4=  18, ch5= 505, ts=1714037800335137,	delta=105,
seq_no=4,	ch0=1709, ch1=   5, ch2=2672, ch3=1110, ch4= 106, ch5= 353, ts=1714037800335227,	delta=90,
seq_no=5,	ch0=2099, ch1=   0, ch2=2621, ch3=1144, ch4= 228, ch5= 230, ts=1714037800335313,	delta=86,
seq_no=6,	ch0=2380, ch1=   0, ch2=2246, ch3=1151, ch4= 375, ch5= 122, ts=1714037800335346,	delta=33,
seq_no=7,	ch0=2428, ch1=  36, ch2=1781, ch3=1093, ch4= 535, ch5=  56, ts=1714037800335375,	delta=29,
seq_no=8,	ch0=2450, ch1= 274, ch2=1243, ch3=1010, ch4= 662, ch5=  82, ts=1714037800335404,	delta=29,
seq_no=9,	ch0=2471, ch1= 543, ch2= 876, ch3= 914, ch4= 910, ch5=   0, ts=1714037800335433,	delta=29,
seq_no=10,	ch0=2461, ch1= 976, ch2= 528, ch3= 751, ch4= 884, ch5=   0, ts=1714037800335462,	delta=29,
seq_no=11,	ch0=2446, ch1=1408, ch2= 148, ch3= 570, ch4= 989, ch5=  36, ts=1714037800335490,	delta=28,
seq_no=12,	ch0=2414, ch1=1848, ch2=   1, ch3= 404, ch4=1034, ch5= 111, ts=1714037800335519,	delta=29,
seq_no=13,	ch0=2335, ch1=2230, ch2=   0, ch3= 274, ch4=1046, ch5= 225, ts=1714037800335547,	delta=28,
seq_no=14,	ch0=1959, ch1=2485, ch2=   8, ch3= 164, ch4=1058, ch5= 378, ts=1714037800335577,	delta=30,
seq_no=15,	ch0=1557, ch1=2529, ch2=  42, ch3=  82, ch4= 999, ch5= 539, ts=1714037800335605,	delta=28,
seq_no=16,	ch0=1144, ch1=2546, ch2= 273, ch3=  11, ch4= 907, ch5= 738, ts=1714037800335633,	delta=28,
seq_no=17,	ch0=1630, ch1=   0, ch2=2690, ch3= 853, ch4= 130, ch5= 290, ts=1714037800335662,	delta=29,
seq_no=18,	ch0=2462, ch1= 526, ch2= 963, ch3= 732, ch4= 640, ch5=   0, ts=1714037800335748,	delta=86,
seq_no=19,	ch0=2440, ch1=1424, ch2= 195, ch3= 472, ch4= 782, ch5=   0, ts=1714037800335779,	delta=31,
seq_no=20,	ch0=2417, ch1=1752, ch2=   0, ch3= 354, ch4= 799, ch5=  67, ts=1714037800335808,	delta=29,
seq_no=21,	ch0=2333, ch1=2164, ch2=   6, ch3= 253, ch4= 850, ch5= 172, ts=1714037800335837,	delta=29,
seq_no=22,	ch0=2026, ch1=2424, ch2=  97, ch3= 125, ch4= 849, ch5= 275, ts=1714037800335865,	delta=28,
seq_no=23,	ch0=1639, ch1=2575, ch2=   0, ch3=  69, ch4= 812, ch5= 350, ts=1714037800339313,	delta=3448,
seq_no=24,	ch0=1305, ch1=2534, ch2= 242, ch3=   8, ch4= 675, ch5= 533, ts=1714037800339362,	delta=49,
seq_no=25,	ch0= 814, ch1=2559, ch2= 597, ch3=   0, ch4= 650, ch5= 642, ts=1714037800339392,	delta=30,
seq_no=26,	ch0= 463, ch1=2560, ch2=1016, ch3=   6, ch4= 535, ch5= 719, ts=1714037800339422,	delta=30,
seq_no=27,	ch0= 166, ch1=2544, ch2=1487, ch3=   6, ch4= 403, ch5= 798, ts=1714037800340125,	delta=703,
seq_no=28,	ch0=   0, ch1=2508, ch2=1952, ch3=  76, ch4= 266, ch5= 825, ts=1714037800340974,	delta=849,
seq_no=29,	ch0=   0, ch1=2431, ch2=2375, ch3= 172, ch4= 176, ch5= 839, ts=1714037800341789,	delta=815,
seq_no=30,	ch0=   0, ch1=2078, ch2=2651, ch3= 314, ch4=  97, ch5= 850, ts=1714037800342741,	delta=952,
seq_no=31,	ch0=  10, ch1=1654, ch2=2696, ch3= 448, ch4=  37, ch5= 795, ts=1714037800343464,	delta=723,
seq_no=32,	ch0= 242, ch1=1225, ch2=2720, ch3= 560, ch4=   0, ch5= 739, ts=1714037800344315,	delta=851,
seq_no=33,	ch0= 544, ch1= 816, ch2=2727, ch3= 647, ch4=   0, ch5= 648, ts=1714037800345161,	delta=846,
seq_no=34,	ch0= 910, ch1= 473, ch2=2719, ch3= 765, ch4=   9, ch5= 622, ts=1714037800345997,	delta=836,
seq_no=35,	ch0=1346, ch1= 206, ch2=2714, ch3= 870, ch4=  41, ch5= 373, ts=1714037800347133,	delta=1136,
seq_no=36,	ch0=1848, ch1=   0, ch2=2657, ch3= 893, ch4=  29, ch5= 274, ts=1714037800347624,	delta=491,
seq_no=37,	ch0=2144, ch1=   7, ch2=2594, ch3= 900, ch4= 194, ch5= 182, ts=1714037800348607,	delta=983,
seq_no=38,	ch0=2382, ch1=  15, ch2=2200, ch3= 908, ch4= 320, ch5=  97, ts=1714037800349314,	delta=707,
seq_no=39,	ch0=2436, ch1=  50, ch2=1749, ch3= 875, ch4= 448, ch5=  29, ts=1714037800350122,	delta=808,
seq_no=40,	ch0=2449, ch1= 290, ch2=1273, ch3= 813, ch4= 564, ch5=   0, ts=1714037800351013,	delta=891,
seq_no=41,	ch0=2464, ch1= 622, ch2= 846, ch3= 696, ch4= 656, ch5=   5, ts=1714037800351808,	delta=795,
seq_no=42,	ch0=2463, ch1=1018, ch2= 440, ch3= 578, ch4= 738, ch5=  34, ts=1714037800352633,	delta=825,
seq_no=43,	ch0=2444, ch1=1397, ch2= 122, ch3= 440, ch4= 856, ch5=  28, ts=1714037800353471,	delta=838,
seq_no=44,	ch0=2307, ch1=1870, ch2=   0, ch3= 388, ch4= 835, ch5= 105, ts=1714037800354313,	delta=842,
seq_no=45,	ch0=2297, ch1=2277, ch2=   0, ch3= 192, ch4= 853, ch5= 204, ts=1714037800355164,	delta=851,
seq_no=46,	ch0=1985, ch1=2500, ch2=   0, ch3= 121, ch4= 856, ch5= 363, ts=1714037800355996,	delta=832,
seq_no=47,	ch0=1527, ch1=2527, ch2=  59, ch3=  73, ch4= 845, ch5= 436, ts=1714037800356834,	delta=838,
seq_no=48,	ch0=1056, ch1=2552, ch2= 362, ch3=  39, ch4= 719, ch5= 621, ts=1714037800357679,	delta=845,
seq_no=49,	ch0= 728, ch1=2556, ch2= 719, ch3=   0, ch4= 618, ch5= 671, ts=1714037800358520,	delta=841,
seq_no=50,	ch0= 377, ch1=2547, ch2=1155, ch3=  13, ch4= 494, ch5= 746, ts=1714037800359368,	delta=848,
seq_no=51,	ch0=  88, ch1=2528, ch2=1625, ch3=  29, ch4= 365, ch5= 807, ts=1714037800360207,	delta=839,
seq_no=52,	ch0=   0, ch1=2499, ch2=2089, ch3= 107, ch4= 257, ch5= 839, ts=1714037800361047,	delta=840,
seq_no=53,	ch0=   0, ch1=2371, ch2=2496, ch3= 198, ch4= 159, ch5= 846, ts=1714037800361889,	delta=842,
seq_no=54,	ch0=   0, ch1=1976, ch2=2666, ch3= 331, ch4=  67, ch5= 833, ts=1714037800362744,	delta=855,
seq_no=55,	ch0=  69, ch1=1559, ch2=2704, ch3= 477, ch4=   6, ch5= 790, ts=1714037800363577,	delta=833,
seq_no=56,	ch0= 308, ch1=1131, ch2=2721, ch3= 596, ch4=   0, ch5= 713, ts=1714037800364415,	delta=838,
seq_no=57,	ch0= 655, ch1= 732, ch2=2732, ch3= 699, ch4=   5, ch5= 616, ts=1714037800365261,	delta=846,
seq_no=58,	ch0=1045, ch1= 448, ch2=2721, ch3= 807, ch4=  24, ch5= 460, ts=1714037800366103,	delta=842,
seq_no=59,	ch0=1579, ch1=  76, ch2=2710, ch3= 847, ch4=   0, ch5= 352, ts=1714037800366952,	delta=849,
seq_no=60,	ch0=1804, ch1=   5, ch2=2645, ch3= 845, ch4= 112, ch5= 233, ts=1714037800367791,	delta=839,
seq_no=61,	ch0=2226, ch1=   2, ch2=2531, ch3= 906, ch4= 216, ch5= 151, ts=1714037800368632,	delta=841,
seq_no=62,	ch0=2400, ch1=  18, ch2=2081, ch3= 895, ch4= 351, ch5=  78, ts=1714037800369476,	delta=844,
seq_no=63,	ch0=2443, ch1= 104, ch2=1624, ch3= 864, ch4= 470, ch5=  17, ts=1714037800370312,	delta=836,
seq_no=64,	ch0=2462, ch1= 374, ch2=1161, ch3= 778, ch4= 580, ch5=   0, ts=1714037800371165,	delta=853,
seq_no=65,	ch0=2467, ch1= 718, ch2= 739, ch3= 676, ch4= 682, ch5=   6, ts=1714037800372000,	delta=835,
seq_no=66,	ch0=2457, ch1=1143, ch2= 338, ch3= 548, ch4= 761, ch5=   0, ts=1714037800372842,	delta=842,
seq_no=67,	ch0=2432, ch1=1540, ch2=  70, ch3= 406, ch4= 795, ch5=  46, ts=1714037800373682,	delta=840,
seq_no=68,	ch0=2399, ch1=1969, ch2=   0, ch3= 264, ch4= 836, ch5= 114, ts=1714037800374527,	delta=845,
seq_no=69,	ch0=2215, ch1=2356, ch2=   0, ch3= 182, ch4= 847, ch5= 285, ts=1714037800375373,	delta=846,
seq_no=70,	ch0=1840, ch1=2354, ch2=  10, ch3= 102, ch4= 916, ch5= 340, ts=1714037800376213,	delta=840,
seq_no=71,	ch0=1313, ch1=2534, ch2= 116, ch3= 104, ch4= 769, ch5= 491, ts=1714037800377057,	delta=844,
seq_no=72,	ch0=1016, ch1=2529, ch2= 515, ch3=   0, ch4= 689, ch5= 576, ts=1714037800377897,	delta=840,
seq_no=73,	ch0= 624, ch1=2559, ch2= 823, ch3=   2, ch4= 592, ch5= 688, ts=1714037800378751,	delta=854,
seq_no=74,	ch0= 296, ch1=2543, ch2=1269, ch3=   1, ch4= 465, ch5= 772, ts=1714037800379584,	delta=833,
seq_no=75,	ch0=  35, ch1=2519, ch2=1740, ch3=  49, ch4= 332, ch5= 825, ts=1714037800380483,	delta=899,
seq_no=76,	ch0=   0, ch1=2485, ch2=2191, ch3= 125, ch4= 228, ch5= 832, ts=1714037800382172,	delta=1689,
seq_no=77,	ch0=   0, ch1=2268, ch2=2595, ch3= 233, ch4= 137, ch5= 847, ts=1714037800382215,	delta=43,
seq_no=78,	ch0=   0, ch1=1854, ch2=2680, ch3= 378, ch4=  67, ch5= 822, ts=1714037800383043,	delta=828,
seq_no=79,	ch0= 100, ch1=1436, ch2=2704, ch3= 511, ch4=   0, ch5= 786, ts=1714037800383834,	delta=791,
seq_no=80,	ch0= 397, ch1=1040, ch2=2726, ch3= 616, ch4=   0, ch5= 692, ts=1714037800384714,	delta=880,
seq_no=81,	ch0= 754, ch1= 640, ch2=2732, ch3= 733, ch4=   0, ch5= 513, ts=1714037800385497,	delta=783,
seq_no=82,	ch0=1153, ch1= 253, ch2=2723, ch3= 824, ch4=  48, ch5= 440, ts=1714037800386332,	delta=835,
seq_no=83,	ch0=1480, ch1=  26, ch2=2728, ch3= 907, ch4=  44, ch5= 388, ts=1714037800387191,	delta=859,
seq_no=84,	ch0=1944, ch1=   0, ch2=2657, ch3= 888, ch4= 154, ch5= 228, ts=1714037800388015,	delta=824,
