seq_no=0,	ch0= 192, ch1=2543, ch2=1439, ch3=   8, ch4= 721, ch5=1464, ts=1714037760911961,	delta=1714037760911961,
seq_no=1,	ch0=   0, ch1=2511, ch2=1904, ch3= 108, ch4= 529, ch5=1560, ts=1714037760912216,	delta=255,
seq_no=2,	ch0=   0, ch1=2438, ch2=2332, ch3= 285, ch4= 356, ch5=1599, ts=1714037760912318,	delta=102,
seq_no=3,	ch0=   0, ch1=2112, ch2=2635, ch3= 517, ch4= 205, ch5=1624, ts=1714037760912412,	delta=94,
seq_no=4,	ch0=   0, ch1=1707, ch2=2688, ch3= 771, ch4=  89, ch5=1560, ts=1714037760912499,	delta=87,
seq_no=5,	ch0= 210, ch1=1264, ch2=2711, ch3= 992, ch4=   9, ch5=1405, ts=1714037760912533,	delta=34,
seq_no=6,	ch0= 546, ch1= 821, ch2=2727, ch3=1183, ch4=   0, ch5=1228, ts=1714037760912561,	delta=28,
seq_no=7,	ch0= 817, ch1= 488, ch2=2752, ch3=1361, ch4=   0, ch5=1061, ts=1714037760912590,	delta=29,
seq_no=8,	ch0=1290, ch1= 179, ch2=2707, ch3=1482, ch4=  64, ch5= 798, ts=1714037760912617,	delta=27,
seq_no=9,	ch0=1696, ch1=   4, ch2=2684, ch3=1594, ch4= 149, ch5= 580, ts=1714037760912646,	delta=29,
seq_no=10,	ch0=2092, ch1=   4, ch2=2616, ch3=1640, ch4= 326, ch5= 396, ts=1714037760912673,	delta=27,
seq_no=11,	ch0=2371, ch1=  13, ch2=2264, ch3=1664, ch4= 532, ch5= 232, ts=1714037760912702,	delta=29,
seq_no=12,	ch0=2416, ch1=  39, ch2=1811, ch3=1624, ch4= 765, ch5= 105, ts=1714037760912787,	delta=85,
seq_no=13,	ch0=2445, ch1= 259, ch2=1332, ch3=1511, ch4= 943, ch5=  17, ts=1714037760912818,	delta=31,
seq_no=14,	ch0=2464, ch1= 591, ch2= 896, ch3=1313, ch4=1112, ch5=   9, ts=1714037760912847,	delta=29,
seq_no=15,	ch0=2463, ch1= 989, ch2= 504, ch3=1059, ch4=1241, ch5=   1, ts=1714037760912876,	delta=29,
seq_no=16,	ch0=   0, ch1=2060, ch2=2659, ch3= 509, ch4= 128, ch5=1244, ts=1714037760912904,	delta=28,
seq_no=17,	ch0=2467, ch1= 714, ch2= 758, ch3=1039, ch4=1013, ch5=   9, ts=1714037760912934,	delta=30,
seq_no=18,	ch0=2456, ch1=1122, ch2= 370, ch3= 844, ch4=1135, ch5=  11, ts=1714037760912962,	delta=28,
seq_no=19,	ch0=2437, ch1=1542, ch2=  73, ch3= 618, ch4=1194, ch5=  64, ts=1714037760912991,	delta=29,
seq_no=20,	ch0=2406, ch1=1986, ch2=   5, ch3= 449, ch4=1260, ch5= 159, ts=1714037760913019,	delta=28,
seq_no=21,	ch0=2221, ch1=2383, ch2=  10, ch3= 304, ch4=1292, ch5= 338, ts=1714037760913048,	delta=29,
seq_no=22,	ch0=1834, ch1=2499, ch2=   0, ch3= 203, ch4=1278, ch5= 500, ts=1714037760913750,	delta=702,
seq_no=23,	ch0=1531, ch1=2528, ch2= 126, ch3=  81, ch4=1161, ch5= 714, ts=1714037760914827,	delta=1077,
seq_no=24,	ch0= 999, ch1=2553, ch2= 417, ch3=   0, ch4=1048, ch5= 894, ts=1714037760915430,	delta=603,
seq_no=25,	ch0= 629, ch1=2552, ch2= 811, ch3=   9, ch4= 898, ch5=1022, ts=1714037760916314,	delta=884,
seq_no=26,	ch0= 305, ch1=2524, ch2=1251, ch3=   5, ch4= 706, ch5=1139, ts=1714037760917079,	delta=765,
seq_no=27,	ch0=  36, ch1=2528, ch2=1728, ch3=  48, ch4= 513, ch5=1223, ts=1714037760917887,	delta=808,
seq_no=28,	ch0=   0, ch1=2481, ch2=2149, ch3= 180, ch4= 344, ch5=1251, ts=1714037760918746,	delta=859,
seq_no=29,	ch0=   0, ch1=2284, ch2=2567, ch3= 348, ch4= 221, ch5=1273, ts=1714037760919553,	delta=807,
seq_no=30,	ch0=   0, ch1=1823, ch2=2668, ch3= 564, ch4= 164, ch5=1248, ts=1714037760920396,	delta=843,
seq_no=31,	ch0=  50, ch1=1425, ch2=2704, ch3= 823, ch4=  18, ch5=1177, ts=1714037760921237,	delta=841,
seq_no=32,	ch0= 394, ch1=1021, ch2=2729, ch3= 914, ch4=   0, ch5=1048, ts=1714037760922079,	delta=842,
seq_no=33,	ch0= 734, ch1= 632, ch2=2727, ch3=1075, ch4=   9, ch5= 847, ts=1714037760922935,	delta=856,
seq_no=34,	ch0=1159, ch1= 258, ch2=2716, ch3=1221, ch4=  34, ch5= 688, ts=1714037760923761,	delta=826,
seq_no=35,	ch0=1452, ch1=  28, ch2=2700, ch3=1358, ch4=  75, ch5= 555, ts=1714037760924604,	delta=843,
seq_no=36,	ch0=1916, ch1=   0, ch2=2648, ch3=1356, ch4= 214, ch5= 359, ts=1714037760925448,	delta=844,
seq_no=37,	ch0=2319, ch1=   9, ch2=2439, ch3=1392, ch4= 373, ch5= 220, ts=1714037760926384,	delta=936,
seq_no=38,	ch0=2411, ch1=  14, ch2=1987, ch3=1378, ch4= 585, ch5= 116, ts=1714037760927871,	delta=1487,
seq_no=39,	ch0=2444, ch1= 163, ch2=1510, ch3=1304, ch4= 764, ch5=  26, ts=1714037760928026,	delta=155,
seq_no=40,	ch0=2462, ch1= 462, ch2=1059, ch3=1160, ch4= 912, ch5=  15, ts=1714037760928988,	delta=962,
seq_no=41,	ch0=2457, ch1= 817, ch2= 640, ch3= 986, ch4=1054, ch5=   4, ts=1714037760929703,	delta=715,
seq_no=42,	ch0=2458, ch1=1222, ch2= 276, ch3= 781, ch4=1148, ch5=  10, ts=1714037760930518,	delta=815,
seq_no=43,	ch0=2424, ch1=1659, ch2=   6, ch3= 581, ch4=1228, ch5= 101, ts=1714037760931367,	delta=849,
seq_no=44,	ch0=2383, ch1=2084, ch2=   5, ch3= 405, ch4=1277, ch5= 234, ts=1714037760932197,	delta=830,
seq_no=45,	ch0=2147, ch1=2460, ch2=   0, ch3= 285, ch4=1280, ch5= 372, ts=1714037760933035,	delta=838,
seq_no=46,	ch0=1817, ch1=2503, ch2=  68, ch3= 159, ch4=1216, ch5= 589, ts=1714037760933933,	delta=898,
seq_no=47,	ch0=1295, ch1=2545, ch2= 200, ch3=   0, ch4=1152, ch5= 750, ts=1714037760934737,	delta=804,
seq_no=48,	ch0= 918, ch1=2553, ch2= 449, ch3=   0, ch4=1021, ch5=1005, ts=1714037760935566,	delta=829,
seq_no=49,	ch0= 547, ch1=2560, ch2= 924, ch3=   2, ch4= 839, ch5=1060, ts=1714037760936402,	delta=836,
seq_no=50,	ch0= 224, ch1=2550, ch2=1384, ch3=   8, ch4= 659, ch5=1166, ts=1714037760937245,	delta=843,
seq_no=51,	ch0=   0, ch1=2519, ch2=1848, ch3=  85, ch4= 472, ch5=1228, ts=1714037760938086,	delta=841,
seq_no=52,	ch0=   0, ch1=2464, ch2=2282, ch3= 217, ch4= 330, ch5=1267, ts=1714037760938939,	delta=853,
seq_no=53,	ch0=   0, ch1=2164, ch2=2629, ch3= 400, ch4= 185, ch5=1283, ts=1714037760939772,	delta=833,
seq_no=54,	ch0=  37, ch1=1747, ch2=2695, ch3= 626, ch4=  73, ch5=1230, ts=1714037760940610,	delta=838,
seq_no=55,	ch0= 164, ch1=1324, ch2=2715, ch3= 809, ch4=   8, ch5=1139, ts=1714037760941456,	delta=846,
seq_no=56,	ch0= 476, ch1= 912, ch2=2715, ch3= 970, ch4=   0, ch5=1048, ts=1714037760942299,	delta=843,
seq_no=57,	ch0= 836, ch1= 454, ch2=2739, ch3=1094, ch4=  58, ch5= 833, ts=1714037760943148,	delta=849,
seq_no=58,	ch0=1298, ch1= 206, ch2=2696, ch3=1248, ch4=   0, ch5= 639, ts=1714037760943984,	delta=836,
seq_no=59,	ch0=1625, ch1=  12, ch2=2675, ch3=1305, ch4= 111, ch5= 461, ts=1714037760944825,	delta=841,
seq_no=60,	ch0=2052, ch1=   0, ch2=2624, ch3=1375, ch4= 260, ch5= 327, ts=1714037760945667,	delta=842,
seq_no=61,	ch0=2351, ch1=  12, ch2=2306, ch3=1385, ch4= 434, ch5= 193, ts=1714037760946510,	delta=843,
seq_no=62,	ch0=2406, ch1=  22, ch2=1856, ch3=1368, ch4= 632, ch5=  82, ts=1714037760947361,	delta=851,
seq_no=63,	ch0=2452, ch1= 230, ch2=1388, ch3=1267, ch4= 802, ch5=  14, ts=1714037760948202,	delta=841,
seq_no=64,	ch0=2463, ch1= 540, ch2= 951, ch3=1132, ch4= 955, ch5=   8, ts=1714037760949041,	delta=839,
seq_no=65,	ch0=2464, ch1= 918, ch2= 532, ch3= 921, ch4=1055, ch5=  13, ts=1714037760949882,	delta=841,
seq_no=66,	ch0=2447, ch1=1333, ch2= 205, ch3= 700, ch4=1172, ch5=  21, ts=1714037760950734,	delta=852,
seq_no=67,	ch0=2422, ch1=1784, ch2=   1, ch3= 532, ch4=1253, ch5= 125, ts=1714037760951570,	delta=836,
seq_no=68,	ch0=2362, ch1=2174, ch2=   4, ch3= 373, ch4=1281, ch5= 264, ts=1714037760952410,	delta=840,
seq_no=69,	ch0=2054, ch1=2440, ch2=   0, ch3= 251, ch4=1313, ch5= 437, ts=1714037760953250,	delta=840,
seq_no=70,	ch0=1583, ch1=2520, ch2=  54, ch3= 149, ch4=1222, ch5= 686, ts=1714037760954092,	delta=842,
seq_no=71,	ch0=1209, ch1=2565, ch2= 333, ch3=  33, ch4=1156, ch5= 819, ts=1714037760954942,	delta=850,
seq_no=72,	ch0= 810, ch1=2559, ch2= 625, ch3=   2, ch4= 992, ch5= 963, ts=1714037760955780,	delta=838,
seq_no=73,	ch0= 456, ch1=2551, ch2=1036, ch3=   0, ch4= 804, ch5=1088, ts=1714037760956621,	delta=841,
seq_no=74,	ch0= 154, ch1=2536, ch2=1510, ch3=  22, ch4= 600, ch5=1180, ts=1714037760957461,	delta=840,
seq_no=75,	ch0=   0, ch1=2510, ch2=1984, ch3= 109, ch4= 425, ch5=1239, ts=1714037760958306,	delta=845,
seq_no=76,	ch0=   0, ch1=2429, ch2=2401, ch3= 258, ch4= 284, ch5=1280, ts=1714037760959156,	delta=850,
seq_no=77,	ch0=  79, ch1=2060, ch2=2652, ch3= 467, ch4= 148, ch5=1268, ts=1714037760959992,	delta=836,
seq_no=78,	ch0=   0, ch1=1652, ch2=2695, ch3= 632, ch4=  68, ch5=1216, ts=1714037760960833,	delta=841,
seq_no=79,	ch0= 249, ch1=1233, ch2=2631, ch3= 849, ch4=   0, ch5=1206, ts=1714037760961895,	delta=1062,
seq_no=80,	ch0= 555, ch1= 864, ch2=2727, ch3=1008, ch4=   3, ch5= 966, ts=1714037760962634,	delta=739,
seq_no=81,	ch0=1043, ch1= 442, ch2=2734, ch3=1155, ch4=   0, ch5= 785, ts=1714037760963393,	delta=759,
seq_no=82,	ch0=1324, ch1= 179, ch2=2719, ch3=1233, ch4=  36, ch5= 620, ts=1714037760964219,	delta=826,
seq_no=83,	ch0=1755, ch1=   1, ch2=2648, ch3=1350, ch4= 134, ch5= 474, ts=1714037760965056,	delta=837,
seq_no=84,	ch0=2136, ch1=   0, ch2=2589, ch3=1382, ch4= 287, ch5= 277, ts=1714037760965896,	delta=840,
seq_no=85,	ch0=2382, ch1=   8, ch2=2195, ch3=1384, ch4= 485, ch5= 161, ts=1714037760966749,	delta=853,
seq_no=86,	ch0=2432, ch1=  57, ch2=1729, ch3=1344, ch4= 678, ch5=  69, ts=1714037760967580,	delta=831,
seq_no=87,	ch0=2455, ch1= 308, ch2=1275, ch3=1235, ch4= 841, ch5=  13, ts=1714037760968419,	delta=839,
seq_no=88,	ch0=2464, ch1= 642, ch2= 833, ch3=1080, ch4= 988, ch5=   5, ts=1714037760969260,	delta=841,
seq_no=89,	ch0=2448, ch1=1032, ch2= 444, ch3= 881, ch4=1093, ch5=   0, ts=1714037760970103,	delta=843,
seq_no=90,	ch0=2440, ch1=1454, ch2= 121, ch3= 678, ch4=1197, ch5=  66, ts=1714037760970954,	delta=851,
seq_no=91,	ch0=2425, ch1=1892, ch2=   0, ch3= 477, ch4=1271, ch5= 162, ts=1714037760971789,	delta=835,
seq_no=92,	ch0=2303, ch1=2278, ch2=   2, ch3= 337, ch4=1287, ch5= 301, ts=1714037760972631,	delta=842,
seq_no=93,	ch0=1832, ch1=2490, ch2=   8, ch3= 261, ch4=1263, ch5= 514, ts=1714037760973472,	delta=841,
seq_no=94,	ch0=1500, ch1=2502, ch2= 192, ch3= 100, ch4=1211, ch5= 678, ts=1714037760974315,	delta=843,
seq_no=95,	ch0=1124, ch1=2531, ch2= 335, ch3=   0, ch4=1080, ch5= 779, ts=1714037760975163,	delta=848,
seq_no=96,	ch0= 717, ch1=2553, ch2= 716, ch3=   0, ch4= 946, ch5=1000, ts=1714037760975998,	delta=835,
seq_no=97,	ch0= 373, ch1=2553, ch2=1172, ch3=   6, ch4= 744, ch5=1113, ts=1714037760976841,	delta=843,
seq_no=98,	ch0=  85, ch1=2531, ch2=1624, ch3=  37, ch4= 561, ch5=1206, ts=1714037760977682,	delta=841,
seq_no=99,	ch0=   0, ch1=2496, ch2=2073, ch3= 149, ch4= 391, ch5=1249, ts=1714037760978524,	delta=842,
seq_no=100,	ch0=   0, ch1=2369, ch2=2488, ch3= 301, ch4= 253, ch5=1283, ts=1714037760979386,	delta=862,
seq_no=101,	ch0=   0, ch1=1956, ch2=2656, ch3= 569, ch4= 125, ch5=1258, ts=1714037760980222,	delta=836,
seq_no=102,	ch0=  69, ch1=1542, ch2=2744, ch3= 718, ch4=  42, ch5=1190, ts=1714037760981061,	delta=839,
seq_no=103,	ch0= 320, ch1=1122, ch2=2723, ch3= 899, ch4=   0, ch5=1048, ts=1714037760981901,	delta=840,
seq_no=104,	ch0= 653, ch1= 698, ch2=2734, ch3=1052, ch4=  23, ch5= 928, ts=1714037760982751,	delta=850,
seq_no=105,	ch0= 948, ch1= 361, ch2=2726, ch3=1216, ch4=   0, ch5= 772, ts=1714037760983622,	delta=871,
seq_no=106,	ch0=1447, ch1=  66, ch2=2752, ch3=1276, ch4=  54, ch5= 542, ts=1714037760984432,	delta=810,
seq_no=107,	ch0=1880, ch1=  25, ch2=2664, ch3=1352, ch4= 173, ch5= 314, ts=1714037760985272,	delta=840,
seq_no=108,	ch0=2232, ch1=   4, ch2=2535, ch3=1390, ch4= 339, ch5= 253, ts=1714037760986112,	delta=840,
seq_no=109,	ch0=2382, ch1=  22, ch2=2081, ch3=1384, ch4= 539, ch5= 136, ts=1714037760986965,	delta=853,
seq_no=110,	ch0=2439, ch1= 118, ch2=1623, ch3=1313, ch4= 716, ch5=  56, ts=1714037760987859,	delta=894,
seq_no=111,	ch0=2464, ch1= 382, ch2=1170, ch3=1196, ch4= 886, ch5=   0, ts=1714037760988660,	delta=801,
seq_no=112,	ch0=2463, ch1= 728, ch2= 736, ch3=1030, ch4=1020, ch5=  10, ts=1714037760989489,	delta=829,
seq_no=113,	ch0=2462, ch1=1131, ch2= 357, ch3= 806, ch4=1146, ch5=  12, ts=1714037760990328,	delta=839,
seq_no=114,	ch0=2432, ch1=1564, ch2=  64, ch3= 617, ch4=1219, ch5=  76, ts=1714037760991183,	delta=855,
seq_no=115,	ch0=2383, ch1=1987, ch2=   2, ch3= 454, ch4=1262, ch5= 186, ts=1714037760992009,	delta=826,
seq_no=116,	ch0=2290, ch1=2366, ch2=   2, ch3= 285, ch4=1243, ch5= 342, ts=1714037760992849,	delta=840,
seq_no=117,	ch0=1798, ch1=2502, ch2=   9, ch3= 122, ch4=1255, ch5= 525, ts=1714037760993695,	delta=846,
seq_no=118,	ch0=1411, ch1=2520, ch2=  64, ch3=  73, ch4=1164, ch5= 832, ts=1714037760994538,	delta=843,
seq_no=119,	ch0=1014, ch1=2552, ch2= 440, ch3=  11, ch4=1048, ch5= 865, ts=1714037760995600,	delta=1062,
seq_no=120,	ch0= 621, ch1=2566, ch2= 825, ch3=   4, ch4= 893, ch5=1043, ts=1714037760996271,	delta=671,
seq_no=121,	ch0= 298, ch1=2552, ch2=1272, ch3=   9, ch4= 707, ch5=1141, ts=1714037760997084,	delta=813,
