seq_no=26,	ch0=   0, ch1=2511, ch2=1926, ch3=  13, ch4=2427, ch5=1267, ts=1712137831382385,	delta=733,
seq_no=27,	ch0= 171, ch1=2541, ch2=1447, ch3= 297, ch4=2511, ch5= 956, ts=1712137831383294,	delta=909,
seq_no=28,	ch0= 539, ch1=2558, ch2= 985, ch3= 691, ch4=2536, ch5= 675, ts=1712137831384092,	delta=798,
seq_no=29,	ch0= 834, ch1=2563, ch2= 539, ch3=1095, ch4=2521, ch5= 492, ts=1712137831384904,	delta=812,
seq_no=30,	ch0=1285, ch1=2545, ch2= 228, ch3=1447, ch4=2478, ch5= 178, ts=1712137831385798,	delta=894,
seq_no=31,	ch0=1636, ch1=2513, ch2=   0, ch3=1748, ch4=2253, ch5=  78, ts=1712137831386676,	delta=878,
seq_no=32,	ch0=2128, ch1=2477, ch2=  10, ch3=2037, ch4=1869, ch5=   6, ts=1712137831387568,	delta=892,
seq_no=33,	ch0=2375, ch1=2177, ch2=  72, ch3=2279, ch4=1584, ch5=  13, ts=1712137831388405,	delta=837,
seq_no=34,	ch0=2426, ch1=1743, ch2=   6, ch3=2343, ch4=1231, ch5= 121, ts=1712137831389253,	delta=848,
seq_no=35,	ch0=2455, ch1=1324, ch2= 212, ch3=2380, ch4= 921, ch5= 427, ts=1712137831390079,	delta=826,
seq_no=36,	ch0=2473, ch1= 915, ch2= 544, ch3=2400, ch4= 650, ch5= 811, ts=1712137831390920,	delta=841,
seq_no=37,	ch0=2478, ch1= 539, ch2= 952, ch3=2396, ch4= 385, ch5=1175, ts=1712137831391756,	delta=836,
seq_no=38,	ch0=2457, ch1= 219, ch2=1399, ch3=2374, ch4= 149, ch5=1497, ts=1712137831392587,	delta=831,
seq_no=39,	ch0=2414, ch1=   1, ch2=1859, ch3=2334, ch4=   0, ch5=1816, ts=1712137831393547,	delta=960,
seq_no=40,	ch0=2369, ch1=   1, ch2=2308, ch3=2047, ch4=   0, ch5=2096, ts=1712137831394240,	delta=693,
seq_no=41,	ch0=2037, ch1=  13, ch2=2636, ch3=1645, ch4=   0, ch5=2351, ts=1712137831395095,	delta=855,
seq_no=42,	ch0=1654, ch1=   0, ch2=2702, ch3=1302, ch4= 129, ch5=2479, ts=1712137831395966,	delta=871,
seq_no=43,	ch0=1219, ch1= 276, ch2=2732, ch3= 973, ch4= 416, ch5=2500, ts=1712137831396785,	delta=819,
seq_no=44,	ch0= 804, ch1= 471, ch2=2731, ch3= 704, ch4= 818, ch5=2526, ts=1712137831397868,	delta=1083,
seq_no=45,	ch0= 453, ch1= 947, ch2=2831, ch3= 448, ch4=1134, ch5=2511, ts=1712137831398446,	delta=578,
seq_no=46,	ch0= 185, ch1=1337, ch2=2718, ch3= 207, ch4=1457, ch5=2483, ts=1712137831399313,	delta=867,
seq_no=47,	ch0=   0, ch1=1760, ch2=2691, ch3=   8, ch4=1757, ch5=2292, ts=1712137831400249,	delta=936,
seq_no=48,	ch0=   0, ch1=2162, ch2=2630, ch3=  11, ch4=2026, ch5=1914, ts=1712137831400935,	delta=686,
seq_no=49,	ch0=   0, ch1=2466, ch2=2291, ch3=  18, ch4=2274, ch5=1547, ts=1712137831401776,	delta=841,
seq_no=50,	ch0=   0, ch1=2528, ch2=1855, ch3=  50, ch4=2469, ch5=1225, ts=1712137831402594,	delta=818,
seq_no=51,	ch0= 204, ch1=2553, ch2=1368, ch3= 343, ch4=2519, ch5= 900, ts=1712137831403431,	delta=837,
seq_no=52,	ch0= 528, ch1=2483, ch2= 885, ch3= 755, ch4=2551, ch5= 610, ts=1712137831404272,	delta=841,
seq_no=53,	ch0= 896, ch1=2558, ch2= 498, ch3=1148, ch4=2520, ch5= 375, ts=1712137831405116,	delta=844,
seq_no=54,	ch0=1307, ch1=2541, ch2= 172, ch3=1505, ch4=2481, ch5= 125, ts=1712137831405981,	delta=865,
seq_no=55,	ch0=1695, ch1=2503, ch2=  36, ch3=1787, ch4=2206, ch5=   0, ts=1712137831406813,	delta=832,
seq_no=56,	ch0=2088, ch1=2358, ch2=   1, ch3=2092, ch4=1885, ch5=   0, ts=1712137831407654,	delta=841,
seq_no=57,	ch0=2375, ch1=2127, ch2=  18, ch3=2264, ch4=1489, ch5=  28, ts=1712137831408495,	delta=841,
seq_no=58,	ch0=2435, ch1=1699, ch2=  13, ch3=2355, ch4=1180, ch5= 166, ts=1712137831409336,	delta=841,
seq_no=59,	ch0=2461, ch1=1263, ch2= 281, ch3=2379, ch4= 865, ch5= 493, ts=1712137831410185,	delta=849,
seq_no=60,	ch0=2480, ch1= 846, ch2= 630, ch3=2400, ch4= 580, ch5= 873, ts=1712137831411022,	delta=837,
seq_no=61,	ch0=2478, ch1= 482, ch2=1043, ch3=2392, ch4= 353, ch5=1248, ts=1712137831412379,	delta=1357,
seq_no=62,	ch0=2464, ch1= 172, ch2=1498, ch3=2370, ch4= 135, ch5=1563, ts=1712137831412764,	delta=385,
seq_no=63,	ch0=2406, ch1=  29, ch2=1951, ch3=2312, ch4=  22, ch5=1880, ts=1712137831413587,	delta=823,
seq_no=64,	ch0=2348, ch1=   8, ch2=2399, ch3=1985, ch4=   1, ch5=2156, ts=1712137831414399,	delta=812,
seq_no=65,	ch0=1968, ch1=   3, ch2=2651, ch3=1600, ch4=   0, ch5=2401, ts=1712137831415236,	delta=837,
seq_no=66,	ch0=1579, ch1=  64, ch2=2703, ch3=1251, ch4= 171, ch5=2451, ts=1712137831416078,	delta=842,
seq_no=67,	ch0=1112, ch1= 256, ch2=2728, ch3= 967, ch4= 462, ch5=2498, ts=1712137831416920,	delta=842,
seq_no=68,	ch0= 749, ch1= 676, ch2=2737, ch3= 681, ch4= 841, ch5=2524, ts=1712137831417779,	delta=859,
seq_no=69,	ch0= 399, ch1= 992, ch2=2722, ch3= 365, ch4=1192, ch5=2521, ts=1712137831418610,	delta=831,
seq_no=70,	ch0= 133, ch1=1397, ch2=2715, ch3= 165, ch4=1500, ch5=2466, ts=1712137831419448,	delta=838,
seq_no=71,	ch0=   0, ch1=1815, ch2=2684, ch3=  17, ch4=1792, ch5=2207, ts=1712137831420291,	delta=843,
seq_no=72,	ch0=   0, ch1=2224, ch2=2604, ch3=   1, ch4=2055, ch5=1841, ts=1712137831421136,	delta=845,
seq_no=73,	ch0=   0, ch1=2480, ch2=2205, ch3=   0, ch4=2302, ch5=1479, ts=1712137831421985,	delta=849,
seq_no=74,	ch0=  14, ch1=2525, ch2=1748, ch3=  96, ch4=2487, ch5=1153, ts=1712137831422821,	delta=836,
seq_no=75,	ch0= 216, ch1=2552, ch2=1272, ch3= 473, ch4=2528, ch5= 854, ts=1712137831423662,	delta=841,
seq_no=76,	ch0= 608, ch1=2560, ch2= 801, ch3= 834, ch4=2534, ch5= 523, ts=1712137831424560,	delta=898,
seq_no=77,	ch0= 949, ch1=2557, ch2= 435, ch3=1245, ch4=2520, ch5= 332, ts=1712137831425421,	delta=861,
seq_no=78,	ch0=1364, ch1=2547, ch2= 117, ch3=1579, ch4=2457, ch5=  76, ts=1712137831426208,	delta=787,
seq_no=79,	ch0=1752, ch1=2515, ch2=  34, ch3=1805, ch4=2144, ch5=  11, ts=1712137831427330,	delta=1122,
