seq_no=0,	ch0=1089, ch1=2564, ch2= 352, ch3=  54, ch4=1781, ch5=1431, ts=1714037700755907,	delta=1714037700755907,
seq_no=1,	ch0= 696, ch1=2560, ch2= 756, ch3=  18, ch4=1516, ch5=1688, ts=1714037700762959,	delta=7052,
seq_no=2,	ch0= 320, ch1=2558, ch2=1200, ch3=  28, ch4=1203, ch5=1883, ts=1714037700763199,	delta=240,
seq_no=3,	ch0=  65, ch1=2540, ch2=1689, ch3=  41, ch4= 923, ch5=2039, ts=1714037700763303,	delta=104,
seq_no=4,	ch0=   0, ch1=2480, ch2=2096, ch3= 310, ch4= 665, ch5=2099, ts=1714037700763393,	delta=90,
seq_no=5,	ch0= 113, ch1=2285, ch2=2520, ch3= 589, ch4= 378, ch5=2224, ts=1714037700763479,	delta=86,
seq_no=6,	ch0=   0, ch1=1915, ch2=2670, ch3= 948, ch4= 255, ch5=2183, ts=1714037700763564,	delta=85,
seq_no=7,	ch0=  74, ch1=1485, ch2=2712, ch3=1275, ch4= 103, ch5=2052, ts=1714037700763597,	delta=33,
seq_no=8,	ch0= 349, ch1=1072, ch2=2723, ch3=1539, ch4=   0, ch5=1831, ts=1714037700763626,	delta=29,
seq_no=9,	ch0= 700, ch1= 683, ch2=2723, ch3=1767, ch4=   1, ch5=1529, ts=1714037700763655,	delta=29,
seq_no=10,	ch0=1081, ch1= 333, ch2=2728, ch3=1982, ch4=  16, ch5=1238, ts=1714037700763683,	delta=28,
seq_no=11,	ch0=1504, ch1=  52, ch2=2691, ch3=2156, ch4= 118, ch5= 930, ts=1714037700763712,	delta=29,
seq_no=12,	ch0=1895, ch1=   0, ch2=2656, ch3=2264, ch4= 342, ch5= 669, ts=1714037700763740,	delta=28,
seq_no=13,	ch0=1504, ch1=2531, ch2=  82, ch3= 193, ch4=1816, ch5=1095, ts=1714037700763769,	delta=29,
seq_no=14,	ch0= 704, ch1=2558, ch2= 751, ch3=   0, ch4=1344, ch5=1585, ts=1714037700763797,	delta=28,
seq_no=15,	ch0= 681, ch1= 704, ch2=2725, ch3=1604, ch4=  17, ch5=1437, ts=1714037700763844,	delta=47,
seq_no=16,	ch0=1075, ch1= 352, ch2=2719, ch3=1806, ch4=   6, ch5=1136, ts=1714037700763874,	delta=30,
seq_no=17,	ch0=1475, ch1=  56, ch2=2700, ch3=1964, ch4=  84, ch5= 871, ts=1714037700763903,	delta=29,
