seq_no=0,	ch0=1447, ch1=  40, ch2=2693, ch3= 448, ch4=  58, ch5= 137, ts=1714037854143726,	delta=1714037854143726,
seq_no=1,	ch0=1870, ch1=   5, ch2=2659, ch3= 450, ch4=  48, ch5= 104, ts=1714037854143989,	delta=263,
seq_no=2,	ch0=2253, ch1=   1, ch2=2508, ch3= 448, ch4=  93, ch5=  54, ts=1714037854144106,	delta=117,
seq_no=3,	ch0=2403, ch1=  21, ch2=2047, ch3= 442, ch4= 162, ch5=  18, ts=1714037854144194,	delta=88,
seq_no=4,	ch0=2438, ch1= 124, ch2=1592, ch3= 414, ch4= 206, ch5=   4, ts=1714037854144277,	delta=83,
seq_no=5,	ch0=2463, ch1= 392, ch2=1132, ch3= 380, ch4= 265, ch5=   0, ts=1714037854144360,	delta=83,
seq_no=6,	ch0=2472, ch1= 744, ch2= 697, ch3= 320, ch4= 320, ch5=   0, ts=1714037854144392,	delta=32,
seq_no=7,	ch0=2459, ch1=1149, ch2= 322, ch3= 259, ch4= 352, ch5=   0, ts=1714037854144421,	delta=29,
seq_no=8,	ch0=2440, ch1=1584, ch2=  38, ch3= 187, ch4= 381, ch5=  21, ts=1714037854144449,	delta=28,
seq_no=9,	ch0=2393, ch1=2008, ch2=  18, ch3= 121, ch4= 361, ch5=  50, ts=1714037854144478,	delta=29,
seq_no=10,	ch0=2167, ch1=2389, ch2=  23, ch3=  16, ch4= 353, ch5=  91, ts=1714037854144506,	delta=28,
seq_no=11,	ch0=1791, ch1=2527, ch2=  69, ch3=  23, ch4= 402, ch5= 202, ts=1714037854144534,	delta=28,
seq_no=12,	ch0=1376, ch1=2528, ch2= 136, ch3=  30, ch4= 349, ch5= 178, ts=1714037854144563,	delta=29,
seq_no=13,	ch0= 992, ch1=2555, ch2= 463, ch3=   0, ch4= 312, ch5= 282, ts=1714037854144591,	delta=28,
seq_no=14,	ch0= 610, ch1=2560, ch2= 844, ch3=   0, ch4= 264, ch5= 327, ts=1714037854144620,	delta=29,
seq_no=15,	ch0= 278, ch1=2547, ch2=1297, ch3=   5, ch4= 194, ch5= 352, ts=1714037854144647,	delta=27,
seq_no=16,	ch0=  16, ch1=2534, ch2=1778, ch3=  32, ch4= 139, ch5= 381, ts=1714037854144676,	delta=29,
seq_no=17,	ch0=   0, ch1=2480, ch2=2223, ch3=  67, ch4=  85, ch5= 378, ts=1714037854144704,	delta=28,
seq_no=18,	ch0=   0, ch1=2233, ch2=2595, ch3= 149, ch4=  43, ch5= 377, ts=1714037854144733,	delta=29,
seq_no=19,	ch0=   0, ch1=1835, ch2=2684, ch3= 195, ch4=  25, ch5= 371, ts=1714037854144760,	delta=27,
seq_no=20,	ch0=2188, ch1=   7, ch2=2575, ch3= 224, ch4=  37, ch5=  12, ts=1714037854144789,	delta=29,
seq_no=21,	ch0= 320, ch1=2548, ch2=1235, ch3=   6, ch4=  90, ch5= 179, ts=1714037854144817,	delta=28,
seq_no=22,	ch0=  53, ch1=2524, ch2=1699, ch3=  24, ch4=  72, ch5= 192, ts=1714037854145343,	delta=526,
seq_no=23,	ch0=   0, ch1=2422, ch2=2151, ch3=  54, ch4=  89, ch5= 184, ts=1714037854146056,	delta=713,
seq_no=24,	ch0=  37, ch1=2279, ch2=2609, ch3=  73, ch4=   0, ch5= 185, ts=1714037854147118,	delta=1062,
seq_no=25,	ch0=   0, ch1=1881, ch2=2636, ch3=  50, ch4=   0, ch5= 179, ts=1714037854147742,	delta=624,
seq_no=26,	ch0=  90, ch1=1472, ch2=2707, ch3= 134, ch4=   0, ch5= 181, ts=1714037854148564,	delta=822,
seq_no=27,	ch0= 361, ch1=1039, ch2=2726, ch3= 163, ch4=   0, ch5= 167, ts=1714037854149396,	delta=832,
seq_no=28,	ch0= 704, ch1= 657, ch2=2727, ch3= 192, ch4=   0, ch5= 135, ts=1714037854150239,	delta=843,
seq_no=29,	ch0=1090, ch1= 325, ch2=2720, ch3= 209, ch4=   0, ch5= 101, ts=1714037854151091,	delta=852,
seq_no=30,	ch0=1506, ch1=  64, ch2=2691, ch3= 232, ch4=   5, ch5=  70, ts=1714037854151920,	delta=829,
seq_no=31,	ch0=1906, ch1=   2, ch2=2656, ch3= 233, ch4=  22, ch5=  50, ts=1714037854152759,	delta=839,
seq_no=32,	ch0=2288, ch1=   0, ch2=2450, ch3= 229, ch4= 110, ch5=   6, ts=1714037854153606,	delta=847,
seq_no=33,	ch0=2413, ch1=   5, ch2=2001, ch3= 218, ch4=  66, ch5=   0, ts=1714037854154445,	delta=839,
seq_no=34,	ch0=2448, ch1= 139, ch2=1532, ch3= 172, ch4= 118, ch5=   0, ts=1714037854155300,	delta=855,
seq_no=35,	ch0=2459, ch1= 449, ch2=1120, ch3= 174, ch4= 132, ch5=  90, ts=1714037854156127,	delta=827,
seq_no=36,	ch0=2485, ch1= 853, ch2= 651, ch3= 199, ch4= 159, ch5=   0, ts=1714037854156970,	delta=843,
seq_no=37,	ch0=2573, ch1=1181, ch2= 300, ch3= 109, ch4= 116, ch5=   0, ts=1714037854157817,	delta=847,
seq_no=38,	ch0=2438, ch1=1632, ch2=  16, ch3=  89, ch4= 182, ch5=   9, ts=1714037854158667,	delta=850,
seq_no=39,	ch0=2383, ch1=2044, ch2=   0, ch3=  54, ch4= 181, ch5=  20, ts=1714037854159500,	delta=833,
seq_no=40,	ch0=2156, ch1=2429, ch2=   9, ch3=  22, ch4= 176, ch5=  49, ts=1714037854160472,	delta=972,
seq_no=41,	ch0=1762, ch1=2504, ch2=   9, ch3=   0, ch4= 174, ch5=  88, ts=1714037854161205,	delta=733,
seq_no=42,	ch0=1347, ch1=2536, ch2= 170, ch3=   0, ch4= 158, ch5= 110, ts=1714037854162040,	delta=835,
seq_no=43,	ch0= 944, ch1=2555, ch2= 488, ch3=   0, ch4= 146, ch5= 142, ts=1714037854162888,	delta=848,
seq_no=44,	ch0= 579, ch1=2556, ch2= 886, ch3=   2, ch4= 123, ch5= 178, ts=1714037854163715,	delta=827,
seq_no=45,	ch0= 266, ch1=2551, ch2=1344, ch3=   6, ch4=  96, ch5= 186, ts=1714037854164551,	delta=836,
seq_no=46,	ch0=   0, ch1=2528, ch2=1810, ch3=  21, ch4=  68, ch5= 209, ts=1714037854165390,	delta=839,
seq_no=47,	ch0=   0, ch1=2504, ch2=2269, ch3=  10, ch4=  33, ch5= 222, ts=1714037854166236,	delta=846,
seq_no=48,	ch0=   0, ch1=2192, ch2=2504, ch3=  64, ch4=   0, ch5= 280, ts=1714037854167088,	delta=852,
seq_no=49,	ch0=   5, ch1=1859, ch2=2680, ch3= 153, ch4=   0, ch5= 156, ts=1714037854167921,	delta=833,
seq_no=50,	ch0= 147, ch1=1369, ch2=2713, ch3= 154, ch4=   0, ch5= 173, ts=1714037854168760,	delta=839,
seq_no=51,	ch0= 435, ch1= 952, ch2=2725, ch3= 166, ch4=   0, ch5= 148, ts=1714037854169601,	delta=841,
seq_no=52,	ch0= 793, ch1= 563, ch2=2732, ch3= 199, ch4=   0, ch5= 125, ts=1714037854170445,	delta=844,
seq_no=53,	ch0=1194, ch1= 247, ch2=2722, ch3= 224, ch4=   0, ch5= 103, ts=1714037854171296,	delta=851,
seq_no=54,	ch0=1608, ch1=   0, ch2=2683, ch3= 228, ch4=   6, ch5=  68, ts=1714037854172129,	delta=833,
seq_no=55,	ch0=2012, ch1=   5, ch2=2627, ch3= 288, ch4=   5, ch5=  40, ts=1714037854172972,	delta=843,
seq_no=56,	ch0=2337, ch1=  20, ch2=2352, ch3= 194, ch4=  41, ch5=  24, ts=1714037854173811,	delta=839,
seq_no=57,	ch0=2419, ch1=  29, ch2=1868, ch3= 216, ch4=  75, ch5=  75, ts=1714037854174663,	delta=852,
seq_no=58,	ch0=2448, ch1= 243, ch2=1432, ch3= 210, ch4= 117, ch5=   0, ts=1714037854175500,	delta=837,
seq_no=59,	ch0=2539, ch1= 487, ch2= 999, ch3= 180, ch4=  96, ch5=   0, ts=1714037854176340,	delta=840,
seq_no=60,	ch0=2458, ch1= 876, ch2= 576, ch3=  64, ch4= 166, ch5=   0, ts=1714037854177182,	delta=842,
seq_no=61,	ch0=2432, ch1=1311, ch2= 287, ch3= 106, ch4= 212, ch5=   0, ts=1714037854178020,	delta=838,
seq_no=62,	ch0=2416, ch1=1744, ch2=   0, ch3=  70, ch4= 168, ch5=  10, ts=1714037854178872,	delta=852,
seq_no=63,	ch0=2368, ch1=2145, ch2=   4, ch3=  50, ch4= 166, ch5=  21, ts=1714037854179709,	delta=837,
seq_no=64,	ch0=2062, ch1=2462, ch2=   8, ch3=  26, ch4= 169, ch5=  53, ts=1714037854180549,	delta=840,
seq_no=65,	ch0=1660, ch1=2515, ch2=  22, ch3=   2, ch4= 177, ch5=  83, ts=1714037854181390,	delta=841,
seq_no=66,	ch0=1241, ch1=2545, ch2= 245, ch3=   1, ch4= 158, ch5= 117, ts=1714037854182233,	delta=843,
seq_no=67,	ch0= 850, ch1=2554, ch2= 588, ch3=   9, ch4= 142, ch5= 149, ts=1714037854183084,	delta=851,
seq_no=68,	ch0= 486, ch1=2560, ch2= 998, ch3=   0, ch4= 116, ch5= 181, ts=1714037854183916,	delta=832,
seq_no=69,	ch0= 177, ch1=2541, ch2=1461, ch3=   6, ch4=  78, ch5= 192, ts=1714037854185132,	delta=1216,
