seq_no=0,	ch0=   0, ch1=2023, ch2=2656, ch3=  50, ch4= 178, ch5=  51, ts=1713174155715579,	delta=1713174155715579,
seq_no=1,	ch0=   0, ch1=2400, ch2=2438, ch3=  78, ch4= 178, ch5=  30, ts=1713174155719106,	delta=3527,
seq_no=2,	ch0=   0, ch1=2504, ch2=2024, ch3= 144, ch4= 169, ch5=   9, ts=1713174155720095,	delta=989,
seq_no=3,	ch0= 101, ch1=2542, ch2=1513, ch3=  91, ch4= 163, ch5=   0, ts=1713174155720261,	delta=166,
seq_no=4,	ch0= 388, ch1=2577, ch2=1089, ch3= 129, ch4= 148, ch5=  16, ts=1713174155720356,	delta=95,
seq_no=5,	ch0= 761, ch1=2556, ch2= 690, ch3= 181, ch4= 123, ch5=   0, ts=1713174155720444,	delta=88,
seq_no=6,	ch0=1111, ch1= 305, ch2=2720, ch3=  20, ch4= 164, ch5= 221, ts=1713174155720530,	delta=86,
seq_no=7,	ch0= 324, ch1=2547, ch2=1222, ch3= 208, ch4= 201, ch5=   0, ts=1713174155720614,	delta=84,
seq_no=8,	ch0=1850, ch1=2579, ch2=  19, ch3= 281, ch4=  52, ch5=   0, ts=1713174155720647,	delta=33,
seq_no=9,	ch0=2231, ch1=2419, ch2=  10, ch3= 269, ch4=  22, ch5=  48, ts=1713174155720677,	delta=30,
seq_no=10,	ch0=2364, ch1=2067, ch2=   0, ch3= 279, ch4=   9, ch5=  56, ts=1713174155720706,	delta=29,
seq_no=11,	ch0=2466, ch1=1596, ch2=  77, ch3= 294, ch4=   9, ch5= 117, ts=1713174155720735,	delta=29,
seq_no=12,	ch0=2435, ch1= 986, ch2= 366, ch3= 242, ch4=  85, ch5= 176, ts=1713174155720763,	delta=28,
seq_no=13,	ch0=2464, ch1= 709, ch2= 754, ch3= 216, ch4=   0, ch5= 224, ts=1713174155720792,	delta=29,
seq_no=14,	ch0=2460, ch1= 354, ch2=1188, ch3= 172, ch4=   0, ch5= 261, ts=1713174155721158,	delta=366,
seq_no=15,	ch0=2439, ch1=  82, ch2=1639, ch3= 140, ch4=  13, ch5= 262, ts=1713174155721971,	delta=813,
seq_no=16,	ch0=2387, ch1=  10, ch2=2105, ch3=  98, ch4=  36, ch5= 267, ts=1713174155722859,	delta=888,
seq_no=17,	ch0=2240, ch1=   1, ch2=2544, ch3=  65, ch4=  65, ch5= 261, ts=1713174155723678,	delta=819,
seq_no=18,	ch0=1827, ch1=   0, ch2=2665, ch3=  42, ch4= 109, ch5= 249, ts=1713174155724503,	delta=825,
seq_no=19,	ch0=1421, ch1= 122, ch2=2717, ch3=  30, ch4= 130, ch5= 249, ts=1713174155725336,	delta=833,
seq_no=20,	ch0= 994, ch1= 402, ch2=2723, ch3=  18, ch4= 183, ch5= 229, ts=1713174155726177,	delta=841,
seq_no=21,	ch0= 628, ch1= 749, ch2=2727, ch3=  29, ch4= 218, ch5= 192, ts=1713174155727034,	delta=857,
seq_no=22,	ch0= 290, ch1=1154, ch2=2688, ch3=  16, ch4= 231, ch5= 234, ts=1713174155727857,	delta=823,
seq_no=23,	ch0=  64, ch1=1595, ch2=2704, ch3=  31, ch4= 233, ch5=   5, ts=1713174155728702,	delta=845,
seq_no=24,	ch0=   0, ch1=2112, ch2=2666, ch3=  64, ch4= 249, ch5=  18, ts=1713174155729543,	delta=841,
seq_no=25,	ch0=   0, ch1=2387, ch2=2479, ch3=  89, ch4= 248, ch5=  43, ts=1713174155730387,	delta=844,
seq_no=26,	ch0=   0, ch1=2501, ch2=2033, ch3= 131, ch4= 241, ch5=  12, ts=1713174155731237,	delta=850,
seq_no=27,	ch0= 123, ch1=2538, ch2=1568, ch3= 177, ch4= 229, ch5=   0, ts=1713174155732069,	delta=832,
seq_no=28,	ch0= 397, ch1=2551, ch2=1111, ch3= 213, ch4= 205, ch5=   1, ts=1713174155732916,	delta=847,
seq_no=29,	ch0= 748, ch1=2557, ch2= 677, ch3= 242, ch4= 176, ch5=   8, ts=1713174155733758,	delta=842,
seq_no=30,	ch0=1096, ch1=2547, ch2= 312, ch3= 323, ch4= 132, ch5=   0, ts=1713174155734599,	delta=841,
seq_no=31,	ch0=1536, ch1=2533, ch2=  36, ch3= 294, ch4=  97, ch5=   9, ts=1713174155735453,	delta=854,
seq_no=32,	ch0=1954, ch1=2483, ch2=   9, ch3= 247, ch4=  58, ch5=  38, ts=1713174155736284,	delta=831,
seq_no=33,	ch0=2307, ch1=2259, ch2=   9, ch3= 266, ch4=  32, ch5=  74, ts=1713174155737125,	delta=841,
seq_no=34,	ch0=2410, ch1=1900, ch2=  21, ch3= 261, ch4=   5, ch5= 114, ts=1713174155737966,	delta=841,
seq_no=35,	ch0=2440, ch1=1397, ch2= 245, ch3= 253, ch4=   0, ch5= 166, ts=1713174155738817,	delta=851,
seq_no=36,	ch0=2459, ch1=1014, ch2= 554, ch3= 241, ch4=  28, ch5= 214, ts=1713174155739650,	delta=833,
seq_no=37,	ch0=2461, ch1= 612, ch2= 867, ch3= 215, ch4=   0, ch5= 230, ts=1713174155740491,	delta=841,
seq_no=38,	ch0=2457, ch1= 273, ch2=1315, ch3= 165, ch4=   0, ch5= 253, ts=1713174155741335,	delta=844,
seq_no=39,	ch0=2429, ch1=  21, ch2=1777, ch3= 126, ch4=   9, ch5= 270, ts=1713174155742179,	delta=844,
seq_no=40,	ch0=2380, ch1=  13, ch2=2231, ch3=  88, ch4=  38, ch5= 262, ts=1713174155743257,	delta=1078,
seq_no=41,	ch0=2115, ch1=   7, ch2=2611, ch3=  58, ch4=  71, ch5= 262, ts=1713174155743913,	delta=656,
seq_no=42,	ch0=1721, ch1=   5, ch2=2668, ch3=  41, ch4= 117, ch5= 251, ts=1713174155744717,	delta=804,
seq_no=43,	ch0=1313, ch1= 192, ch2=2712, ch3=  27, ch4= 157, ch5= 238, ts=1713174155745555,	delta=838,
seq_no=44,	ch0= 914, ch1= 495, ch2=2726, ch3=  17, ch4= 182, ch5= 214, ts=1713174155746394,	delta=839,
seq_no=45,	ch0= 553, ch1= 857, ch2=2727, ch3=  33, ch4= 205, ch5= 176, ts=1713174155747254,	delta=860,
seq_no=46,	ch0= 152, ch1=1264, ch2=2725, ch3=  54, ch4= 225, ch5= 157, ts=1713174155748071,	delta=817,
seq_no=47,	ch0=   0, ch1=1692, ch2=2677, ch3=   0, ch4= 249, ch5=  76, ts=1713174155748911,	delta=840,
seq_no=48,	ch0=   0, ch1=2139, ch2=2656, ch3=  35, ch4= 247, ch5=  75, ts=1713174155749750,	delta=839,
seq_no=49,	ch0=   0, ch1=2447, ch2=2352, ch3=  98, ch4= 257, ch5=  25, ts=1713174155750594,	delta=844,
seq_no=50,	ch0=   0, ch1=2511, ch2=1912, ch3= 145, ch4= 235, ch5=   1, ts=1713174155751475,	delta=881,
seq_no=51,	ch0= 177, ch1=2535, ch2=1436, ch3= 184, ch4= 221, ch5=   0, ts=1713174155754311,	delta=2836,
seq_no=52,	ch0= 475, ch1=2557, ch2= 988, ch3= 224, ch4= 192, ch5=   0, ts=1713174155754374,	delta=63,
seq_no=53,	ch0= 841, ch1=2556, ch2= 580, ch3= 244, ch4= 160, ch5=   4, ts=1713174155754406,	delta=32,
seq_no=54,	ch0=1248, ch1=2538, ch2= 235, ch3= 273, ch4= 122, ch5=   0, ts=1713174155754911,	delta=505,
seq_no=55,	ch0=1651, ch1=2424, ch2=  10, ch3= 277, ch4= 157, ch5=   8, ts=1713174155755677,	delta=766,
seq_no=56,	ch0=2044, ch1=2428, ch2=  13, ch3= 278, ch4=  81, ch5=  36, ts=1713174155756507,	delta=830,
seq_no=57,	ch0=2366, ch1=2131, ch2=   2, ch3= 284, ch4=  51, ch5=  71, ts=1713174155757339,	delta=832,
seq_no=58,	ch0=2412, ch1=1731, ch2=   5, ch3= 260, ch4=   0, ch5= 111, ts=1713174155758182,	delta=843,
seq_no=59,	ch0=2459, ch1=1315, ch2= 276, ch3= 269, ch4=   0, ch5= 156, ts=1713174155759038,	delta=856,
seq_no=60,	ch0=2463, ch1= 910, ch2= 580, ch3= 238, ch4=   0, ch5= 217, ts=1713174155759867,	delta=829,
seq_no=61,	ch0=2463, ch1= 525, ch2= 988, ch3= 200, ch4=   0, ch5= 238, ts=1713174155760763,	delta=896,
seq_no=62,	ch0=2449, ch1= 212, ch2=1432, ch3= 161, ch4=   0, ch5= 251, ts=1713174155761552,	delta=789,
seq_no=63,	ch0=2425, ch1=   0, ch2=1896, ch3= 119, ch4=  21, ch5= 262, ts=1713174155762393,	delta=841,
seq_no=64,	ch0=2351, ch1=  14, ch2=2347, ch3=  84, ch4=  46, ch5= 264, ts=1713174155763245,	delta=852,
seq_no=65,	ch0=2023, ch1=  10, ch2=2639, ch3=  49, ch4=  85, ch5= 267, ts=1713174155764075,	delta=830,
seq_no=66,	ch0=1600, ch1=  25, ch2=2688, ch3=  30, ch4= 125, ch5= 262, ts=1713174155764920,	delta=845,
